Rk,PER,TS%,FTr,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
204,4.5,0.311,0.167,23.9,,-0.1,0,-0.1,-0.125,,-6.5,-3.2,-9.7,-0.1
205,13.6,0.527,0.278,25.4,,1,0.9,1.8,0.043,,-0.1,-2,-2,0
205,14.4,0.531,0.321,25.9,,1,0.5,1.5,0.048,,0.4,-1.9,-1.6,0.2
205,11.6,0.514,0.161,23.9,,0,0.4,0.4,0.03,,-1.2,-2,-3.2,-0.2
206,30.6,0.616,0.449,40.5,,11.4,3.8,15.2,0.254,,9.4,1.6,11,9.3
207,13.2,0.547,0.188,13.9,,1.5,1.9,3.4,0.114,,-1,1.7,0.7,1
208,23.4,0.636,0.466,23.5,,6.1,2.6,8.7,0.193,,2.6,0.7,3.3,2.9
209,10.7,0.527,0.386,18.5,,0.6,0.9,1.5,0.068,,-2.6,0.4,-2.2,-0.1
210,12.2,0.526,0.226,20,,1.1,1.5,2.6,0.076,,-1.2,-0.4,-1.6,0.2
211,13.5,0.645,0.178,17,,3.8,1.7,5.5,0.116,,0.8,-0.3,0.5,1.4
212,17.2,0.592,0.245,22.8,,4.5,2.6,7.1,0.12,,2.1,-0.5,1.6,2.6
212,18.2,0.605,0.256,23.5,,3.2,1.8,5,0.127,,2.7,-0.2,2.4,2.1
212,15.3,0.562,0.221,21.3,,1.2,0.9,2.1,0.105,,0.9,-1,-0.1,0.5
213,5.8,0.443,0.34,16.8,,-0.1,0,-0.1,-0.027,,-5.8,-1.2,-7.1,-0.2
213,4.6,0.5,0,17.9,,0,0,0,-0.013,,-11.2,-4.2,-15.4,0
213,6.6,0.467,0.41,17,,-0.1,0,-0.1,-0.022,,-5.6,-0.6,-6.2,-0.2
213,3.1,0.349,0.167,16.1,,0,0,0,-0.051,,-6,-3.2,-9.2,-0.1
214,12.4,0.494,0.289,16.5,,-0.1,1.6,1.4,0.048,,-2.8,1.5,-1.3,0.2
215,9.3,0.526,0.172,13.5,,0.2,1.9,2.1,0.059,,-2.3,1,-1.3,0.3
216,10,0.562,0.341,11.8,,0.2,0.3,0.5,0.101,,-5.1,1.2,-3.9,-0.1
217,3.6,0.36,0.121,21.9,,-0.2,0.1,-0.1,-0.075,,-8.4,-2.4,-10.9,-0.2
218,15.6,0.575,0.294,19,,2.6,2.3,4.9,0.126,,0.4,0.4,0.8,1.3
219,17.1,0.553,0.149,18.6,,0.1,0.4,0.6,0.146,,0.4,2.1,2.5,0.2
220,11,0.58,0.274,12.2,,1.6,1.4,3,0.105,,-0.9,-0.2,-1.1,0.3
221,20.4,0.587,0.488,22.1,,1.8,0.8,2.6,0.153,,1.1,-1.1,-0.1,0.4
222,10.8,0.497,0.246,21.3,,-1.1,1.1,-0.1,-0.003,,-3.5,-0.3,-3.8,-0.5
223,17.4,0.588,0.625,15,,0.1,0,0.1,0.153,,-2.1,2.2,0.1,0
224,17.5,0.587,0.142,25.1,,4.3,1.6,5.9,0.108,,3.5,-1.4,2.1,2.7
225,4.5,0.414,0.2,12.4,,0,0,0,-0.023,,-5.8,-2.4,-8.2,-0.1
226,11.9,0.552,0.405,11.7,,0.8,0.6,1.4,0.123,,-3.1,0.9,-2.2,0
227,12.1,0.554,0.226,15.1,,1.5,1.3,2.8,0.103,,-1.9,0.5,-1.4,0.2
227,13.5,0.604,0.187,17.3,,0.5,0,0.5,0.066,,-0.7,-1.2,-2,0
227,11.6,0.534,0.242,14.4,,1,1.4,2.3,0.117,,-2.3,1.1,-1.2,0.2
228,6.8,0.497,0.18,10.4,,0.1,0.4,0.5,0.029,,-3.1,-0.4,-3.6,-0.3
229,11.9,0.518,0.191,21.9,,0.1,0.8,0.9,0.065,,-1.7,0.1,-1.6,0.1
230,19.4,0.555,0.234,25.4,,3.5,1.9,5.4,0.108,,3.1,-0.1,3,3.1
231,10,0.52,0.136,15.7,,-0.4,2.5,2.1,0.038,,-2.3,0.5,-1.8,0.1
231,11,0.531,0.117,15.2,,0.2,1.1,1.3,0.047,,-1.3,1.1,-0.3,0.6
231,8.9,0.509,0.157,16.3,,-0.6,1.4,0.8,0.029,,-3.3,-0.1,-3.4,-0.5
232,0,,,0,,0,0,0,-0.032,,-3.4,-1.6,-5,0
233,12.5,0.464,0.376,21.6,,-0.5,1.7,1.2,0.047,,-3,0.4,-2.6,-0.2
234,20.7,0.647,0.479,17.9,,3.1,1.1,4.3,0.173,,0.1,0.5,0.6,0.8
235,12.3,0.545,0.231,18.1,,2.1,0.5,2.6,0.065,,-1.2,-0.8,-2,0
235,13,0.542,0.251,19.1,,1.5,0,1.5,0.059,,-1,-1.1,-2.1,0
235,10.9,0.549,0.189,16.3,,0.6,0.5,1.1,0.077,,-1.7,-0.3,-2,0
236,20.2,0.605,0.131,18.9,,4.5,2.9,7.5,0.181,,3.3,1.9,5.1,3.6
237,12.2,0.646,0.282,14.1,,1.6,0.7,2.3,0.113,,0.1,-0.5,-0.5,0.4
238,17.4,0.638,0.696,19.6,,0.4,0.2,0.6,0.124,,-1.3,-1.7,-3,-0.1
239,10.1,0.533,0.085,15.7,,0.7,0.7,1.5,0.034,,-1.6,-0.8,-2.4,-0.2
240,3.4,0.357,0,15.2,,-0.1,0,-0.1,-0.047,,-6.2,-4.7,-11,-0.1
241,21.5,0.612,0.154,23,,0.1,0,0.1,0.226,,3.2,0.4,3.6,0
242,8.8,0.507,0.182,12.2,,0,0.6,0.6,0.03,,-3.4,-0.5,-3.9,-0.4
243,18.7,0.582,0.202,22.9,,2.8,3.3,6.1,0.146,,0.2,0.1,0.2,1.2
244,13.1,0.587,0.222,10.4,,2.4,1.8,4.2,0.129,,0.1,1.7,1.8,1.5
245,11.6,0.548,0.194,15.7,,1.2,1.9,3,0.119,,-2.4,0.1,-2.3,-0.1
246,13.4,0.581,0.153,17.5,,2.5,3.6,6,0.113,,0.3,1.1,1.4,2.2
247,-11.9,0,0,19.3,,-0.1,0,-0.1,-0.408,,-14.8,-4.8,-19.6,-0.1
248,13.4,0.555,0.396,23.2,,0.6,1.4,2,0.055,,-1.3,-0.7,-2,0
249,24.3,0.592,0.197,29.6,,6.2,2.9,9.1,0.197,,6,1.1,7.2,5.1
250,13,0.537,0.221,16.3,,0.9,3.1,4,0.096,,-1.4,1,-0.4,0.8
251,8.7,0.531,0.376,12.8,,0.5,1.4,1.9,0.073,,-3.8,0.6,-3.2,-0.4
252,21,0.656,0.267,19.1,,0.2,0,0.2,0.231,,3.6,0.9,4.5,0.1
253,9.4,0.517,0.163,18.5,,0.1,0.4,0.4,0.018,,-2.9,-1.7,-4.6,-0.8
254,16.4,0.591,0.334,22.8,,1.2,2.2,3.3,0.105,,-1.2,1,-0.3,0.7
255,10.6,0.487,0.253,23.9,,-2.8,1.1,-1.7,-0.04,,-3.3,-1.2,-4.6,-1.3
256,11.3,0.561,0.163,14.3,,2,0.9,2.9,0.086,,-0.8,-0.8,-1.6,0.2
256,10.1,0.546,0.169,12.9,,1,0.6,1.6,0.072,,-1.3,-0.5,-1.9,0
256,13.9,0.584,0.153,17,,1,0.3,1.3,0.114,,0.4,-1.4,-1,0.1
257,15.2,0.547,0.225,24.5,,3.1,1.9,5,0.105,,1.3,-0.9,0.4,1.4
258,25.6,0.588,0.382,31.6,,4.7,2.6,7.2,0.179,,6.4,1.7,8,4.9
259,21.1,0.692,0.5,13.1,,0.2,0.1,0.4,0.258,,0.5,2,2.5,0.1
260,9.7,0.536,0.171,15.7,,0.2,0,0.2,0.031,,-1,-2.4,-3.4,-0.1
260,20.5,1.5,0,6.1,,0.1,0,0.1,0.202,,7.6,-1,6.6,0
260,9.3,0.518,0.175,16.1,,0.2,0,0.2,0.024,,-1.4,-2.5,-3.9,-0.2
261,13.5,0.588,0.225,15.2,,2.1,1.2,3.3,0.13,,-0.3,-0.4,-0.7,0.4
262,6.3,0.333,0.5,13.3,,-0.1,0.1,0,0.027,,-5.7,-2,-7.7,-0.1
263,13.1,0.574,0.261,17.4,,0.4,0.7,1.1,0.098,,-2.9,0.6,-2.3,0
264,12.8,0.609,0.111,17.4,,0,0,0.1,0.066,,-2.3,-2,-4.3,0
264,14,0.622,0.125,17.9,,0,0,0.1,0.076,,-1.5,-1.4,-2.9,0
264,3.7,0.5,0,13.8,,0,0,0,-0.008,,-8.4,-5.7,-14.1,0
265,10.9,0.522,0.185,17.8,,0,1.5,1.5,0.062,,-2.4,1.1,-1.2,0.2
266,9.6,0.485,0.145,19.4,,-1.1,1.6,0.5,0.021,,-3.1,0.9,-2.2,0
266,9.8,0.482,0.146,19.1,,-0.7,1.4,0.7,0.034,,-2.9,1.3,-1.6,0.1
266,8.9,0.496,0.143,20.4,,-0.3,0.2,-0.1,-0.028,,-3.9,-0.5,-4.5,-0.2
267,12.4,0.532,0.241,18.5,,0.9,1.4,2.3,0.071,,-0.7,0.3,-0.4,0.6
267,12.3,0.54,0.219,19.2,,0.5,1.3,1.8,0.075,,-0.7,0.6,-0.1,0.5
267,12.8,0.506,0.312,16.5,,0.4,0.1,0.5,0.06,,-0.5,-0.6,-1,0.1
268,5.5,0.469,0.148,12,,-0.3,0.3,0,0.001,,-4.3,-0.5,-4.8,-0.4
268,6.9,0.517,0.102,11.3,,0,0.2,0.3,0.032,,-3.4,0.3,-3.1,-0.1
268,2,0.372,0.25,13.6,,-0.3,0,-0.2,-0.075,,-6.5,-2.4,-8.9,-0.3
269,26.3,0.589,0.292,27.4,,7.5,4.3,11.8,0.226,,6.2,2.9,9.1,7
270,15.3,0.72,0.5,11.1,,1,0.5,1.5,0.173,,-0.6,1.7,1.1,0.3
271,14,0.559,0.377,15.6,,1.2,1.7,2.9,0.121,,-1.5,1,-0.5,0.4
272,11.7,0.548,0.435,16.7,,0.2,0.1,0.3,0.056,,-2.3,-1.9,-4.3,-0.1
273,12.1,0.398,0.061,11.3,,0,0.2,0.2,0.084,,-2.2,2.4,0.2,0.1
274,-15.8,0.225,0.25,47.2,,-0.1,0,-0.1,-0.661,,-24.7,-6.4,-31.1,0
275,13.7,0.491,0.155,14.1,,2.1,0.9,3,0.091,,-0.9,0.3,-0.6,0.6
276,19,0.674,0.592,15,,4,3.1,7.1,0.167,,0.8,1.3,2.1,2.1
276,18,0.672,0.613,14.4,,2.7,2.5,5.3,0.162,,0.4,1.3,1.7,1.4
276,22.1,0.681,0.537,16.8,,1.3,0.6,1.9,0.181,,2.2,1.3,3.4,0.7
277,11,0.474,0.078,13.7,,0.5,2.9,3.5,0.081,,-2.1,1.7,-0.4,0.9
278,16.8,0.587,0.359,22.1,,1.3,0.5,1.8,0.114,,1.4,-1.1,0.3,0.4
279,22.3,0.594,0.288,23.1,,3.9,1.6,5.4,0.159,,2.5,-1.5,1,1.2
279,21.8,0.585,0.276,22.9,,2.4,0.9,3.4,0.143,,2.5,-1.6,0.8,0.8
279,23.5,0.614,0.316,23.4,,1.5,0.6,2.1,0.196,,2.6,-1.3,1.3,0.4
280,11.9,0.56,0.117,18.1,,1.3,1.3,2.5,0.085,,-0.4,-0.6,-1.1,0.3
281,13.3,0.553,0.37,15.7,,1.5,1,2.5,0.1,,-2.3,-0.1,-2.4,-0.1
282,1.9,,,0,,0,0,0,-0.001,,-5.8,-2.1,-7.9,0
283,13.1,0.579,0.192,13.5,,1.6,1.8,3.5,0.111,,-0.8,1.2,0.4,0.9
284,8.9,0.484,0.131,18.1,,-0.1,0,0,-0.002,,-3.5,-2,-5.4,-0.6
284,0.8,0.347,0.234,20.9,,-0.3,0,-0.3,-0.113,,-9.5,-2.9,-12.4,-0.3
284,10.5,0.515,0.108,17.6,,0.3,0,0.2,0.019,,-2.3,-1.8,-4.1,-0.3
285,8.7,0.475,0.247,22.3,,-2.2,0.9,-1.3,-0.03,,-3.4,-2.3,-5.7,-2
286,11.5,0.528,0.18,17.9,,0.4,0.7,1.1,0.079,,-1.6,-0.2,-1.8,0
287,14.8,0.531,0.163,17.9,,0.6,0.7,1.4,0.083,,1.4,0.7,2.1,0.8
288,11.2,0.582,0.151,18.5,,1,1.3,2.3,0.082,,-0.2,-0.3,-0.5,0.5
288,11.3,0.65,0.211,17.4,,0.2,0,0.2,0.043,,0.6,-1.3,-0.7,0.1
288,11.2,0.569,0.14,18.7,,0.8,1.3,2,0.091,,-0.4,0,-0.4,0.4
289,12.3,0.477,0.157,15.7,,0,0.7,0.7,0.063,,-3.6,0.2,-3.4,-0.2
290,11,0.545,0.205,18.4,,0.1,1.5,1.6,0.059,,-2.9,0.3,-2.6,-0.2
291,14,0.546,0.23,23.8,,1.2,1.9,3.1,0.065,,-0.2,-1.2,-1.4,0.4
292,12.6,0.593,0.347,16,,0.1,0.2,0.3,0.089,,-2.9,-0.1,-3,0
292,7,0.517,0.367,15.3,,-0.1,0.1,0,0.018,,-5.6,-0.8,-6.4,-0.1
292,22.6,0.716,0.316,17.2,,0.2,0.1,0.3,0.216,,1.7,1.2,3,0.1
293,17.3,0.552,0.266,22.5,,3.3,2,5.3,0.113,,1.2,0,1.2,1.8
294,18.7,0.574,0.33,30.5,,1.7,1.1,2.8,0.062,,2.4,-1.6,0.8,1.5
295,13.5,0.594,0.167,15.9,,1.9,1.2,3.1,0.111,,-0.1,-0.3,-0.5,0.5
296,16.9,0.572,0.169,17.5,,0.9,0.7,1.6,0.148,,0.3,-0.6,-0.3,0.2
297,10.3,0.492,0.163,15.3,,0.1,0.4,0.4,0.05,,-3.4,0.8,-2.5,-0.1
297,13.7,0.527,0.298,15.5,,0.2,0.1,0.3,0.087,,-1.8,1.1,-0.8,0
297,8.3,0.47,0.085,15.1,,-0.1,0.3,0.2,0.028,,-4.3,0.7,-3.6,-0.1
298,11.9,0.578,0.173,16.8,,0.3,0.4,0.7,0.09,,-1.2,-1.1,-2.2,0
299,16.3,0.468,0.126,26.6,,-0.1,0.2,0.1,0.026,,-2.4,0.2,-2.2,0
300,17.2,0.575,0.333,22.1,,2.2,1,3.2,0.1,,0,-1.3,-1.2,0.3
301,25.8,0.606,0.377,30.3,,6.1,3.4,9.5,0.224,,6.1,1.1,7.2,4.7
302,15.8,0.675,0.211,14.8,,2.1,0.9,3,0.164,,1.5,0.3,1.8,0.8
303,13.2,0.616,0.274,16.1,,0.4,0.5,0.9,0.11,,-2.8,0.4,-2.5,0
304,14.9,0.509,0.255,24,,0.5,1.2,1.7,0.077,,-0.3,0.5,0.2,0.6
305,23.7,0.588,0.335,29.3,,9.7,2.4,12.1,0.205,,6.6,-0.3,6.4,6
306,13.5,0.558,0.388,21.8,,1.2,0.9,2.1,0.07,,-1.4,-0.9,-2.2,-0.1
306,15.9,0.594,0.435,22.6,,1.5,0.4,1.9,0.092,,0.3,-1,-0.6,0.3
306,8.2,0.464,0.271,19.8,,-0.3,0.5,0.2,0.02,,-5.4,-0.6,-6,-0.4
307,11.7,0.555,0.243,12,,1.2,0.9,2,0.101,,-1.7,0.7,-1,0.2
308,-10,0,0,21.6,,-0.1,0,0,-0.447,,-17.4,6,-11.5,0
309,17.3,0.636,0.303,12.8,,4.2,1.8,6,0.194,,0.1,0.4,0.5,0.9
310,14.6,0.597,0.169,16.7,,2.3,4.3,6.7,0.138,,0.4,1.8,2.2,2.4
311,15.9,0.598,0.23,18.6,,2,0.7,2.7,0.081,,-0.6,-1.4,-1.9,0
312,19.5,0.561,0.403,27.4,,1,0.4,1.3,0.106,,3.3,-1.6,1.6,0.6
313,16.5,0.562,0.263,19.6,,3.6,3,6.6,0.144,,1.7,0.6,2.3,2.4
314,16.3,0.635,0.611,19.4,,0.2,0,0.2,0.19,,0,-0.9,-1,0
315,16.6,0.532,2,13.5,,0,0,0,0.238,,-5.6,6.4,0.8,0
316,8,0.489,0.188,16.6,,-0.3,0.5,0.2,0.015,,-4.1,-1.1,-5.2,-0.5
316,3.4,0.383,0.14,16.8,,-0.2,0.1,-0.1,-0.033,,-7,-0.1,-7.1,-0.2
316,9,0.515,0.2,16.5,,0,0.3,0.3,0.026,,-3.4,-1.3,-4.7,-0.4
317,9.3,0.595,0.167,10.6,,0.1,0.1,0.2,0.086,,-2.8,-1.4,-4.2,-0.1
318,12.7,0.5,0.234,23.4,,-0.2,1.4,1.2,0.05,,-1.8,-0.7,-2.4,-0.1
319,22.2,0.776,0.167,14,,0.1,0,0.1,0.281,,2.9,2.7,5.5,0
320,10.4,0.489,0.208,18.1,,-0.2,1.1,0.9,0.034,,-2.7,-0.4,-3,-0.3
320,11,0.499,0.193,18,,0.1,1,1.1,0.045,,-2.3,-0.3,-2.5,-0.1
320,-6.6,0.251,0.643,22.5,,-0.3,0,-0.3,-0.304,,-14,-3.9,-17.9,-0.2
321,5.5,0.482,0.259,17.2,,-0.1,0,0,-0.022,,-5.3,-2.6,-7.9,-0.1
322,5.7,0.333,0,22.8,,0,0,0,-0.11,,-4.7,-2.9,-7.7,0
323,12,0.531,0.587,12.9,,0.5,0.5,1,0.092,,-3.5,0.6,-3,-0.1
324,11.3,0.53,0.313,14.8,,0.5,1.5,2,0.099,,-2.2,1,-1.2,0.2
324,12.9,0.546,0.276,16.3,,0.4,0.7,1.1,0.132,,-1.3,1.3,0,0.2
324,10.2,0.514,0.351,13.7,,0.1,0.8,0.9,0.075,,-2.9,0.8,-2.1,0
325,24.2,0.664,0.504,23.3,,2.1,0.9,3,0.212,,2.8,0.3,3.2,0.9
325,24.9,0.666,0.679,24.6,,1.2,0.5,1.7,0.217,,2.6,0.4,3.1,0.5
325,23.3,0.663,0.3,21.7,,0.9,0.4,1.3,0.204,,3,0.3,3.3,0.4
326,17.1,0.553,0.245,25.1,,1.3,1.5,2.7,0.078,,1.4,-1.5,-0.2,0.7
327,9.4,0.528,0.106,15.9,,0.1,0.4,0.5,0.073,,-3.7,-0.2,-3.9,-0.2
328,12.4,0.502,0.337,21.8,,0,0.3,0.3,0.033,,-1.9,-1.3,-3.1,-0.1
329,5.7,0.25,0,13.2,,0,0,0,-0.026,,-7.5,-1.6,-9.2,0
330,10.3,0.546,0.234,17.8,,1.1,1.5,2.7,0.062,,-1.4,-0.5,-1.8,0.1
330,11.3,0.556,0.235,18.9,,1,0.8,1.8,0.066,,-0.8,-0.5,-1.3,0.2
330,2.9,0.33,0.263,18.4,,-0.1,0,-0.1,-0.115,,-5.3,-1.3,-6.6,-0.1
330,9.2,0.543,0.229,15.8,,0.3,0.7,1,0.067,,-2,-0.4,-2.4,-0.1
331,6.7,0.495,0.278,15.4,,0,0,0,0.009,,-2.9,0,-3,0
332,9.6,0.581,0.333,18.1,,0,0,0,0.055,,-6,-0.6,-6.6,0
333,7.5,0.532,0.238,9.4,,0,0.5,0.5,0.065,,-4.8,1.9,-3,-0.1
333,-0.7,0.278,0,9.9,,-0.2,0,-0.2,-0.137,,-7.8,-3.2,-11,-0.1
333,8.7,0.569,0.278,9.3,,0.2,0.5,0.7,0.096,,-4.4,2.7,-1.7,0
334,17,0.553,0.154,25.5,,4,1.7,5.6,0.114,,2.1,-1,1,1.8
335,13.4,0.555,0.088,15,,1.2,1.7,2.9,0.094,,-1.8,0.9,-0.9,0.4
336,11.6,0.617,0.187,16.3,,1.8,1.1,2.9,0.103,,-0.5,-0.9,-1.4,0.2
337,21.8,0.634,0.237,20.2,,3,2.9,5.9,0.171,,0.3,1.2,1.4,1.4
338,9.4,0.51,0.156,15.4,,0.4,1.6,1.9,0.059,,-2.2,-0.1,-2.3,-0.1
339,11.2,0.569,0.175,13.9,,1.2,0.9,2.1,0.1,,-2.2,-1.3,-3.5,-0.4
340,10.5,0.541,0.188,19.4,,0.1,0.1,0.2,0.055,,-2.1,-1.4,-3.5,-0.1
341,14.3,0.55,0.269,20.4,,0.3,0.2,0.5,0.066,,-0.9,-0.8,-1.7,0
342,16,0.647,0.026,17.1,,0.2,0.1,0.3,0.153,,1.4,-0.8,0.5,0.1
343,16.1,0.559,0.286,15.8,,0.5,0.6,1.1,0.136,,-1.1,1.9,0.8,0.3
344,9.9,0.466,0.109,15,,-0.8,0.8,0,0.002,,-3.8,1.1,-2.7,-0.2
345,6.4,0.389,0.293,24.4,,-0.5,0.2,-0.3,-0.099,,-7.3,-1.4,-8.7,-0.2
346,16.5,0.558,0.225,25.1,,2.5,3.6,6.1,0.123,,0.7,0.1,0.8,1.7
347,9,0.504,0.186,18.6,,-0.2,0.9,0.7,0.041,,-2.4,-0.5,-2.9,-0.2
347,8,0.484,0.214,18.8,,-0.3,0.7,0.4,0.035,,-3.2,-0.4,-3.6,-0.2
347,10.8,0.544,0.133,18.3,,0.1,0.3,0.3,0.054,,-0.8,-0.8,-1.5,0
348,8.4,0.55,0.147,13.4,,1.1,0.6,1.6,0.045,,-2.1,-0.8,-2.9,-0.4
349,13.7,0.63,0.154,18.5,,0.1,0.1,0.2,0.13,,1.2,-1.6,-0.5,0
350,13.2,0.572,0.155,18.5,,2.2,1.2,3.5,0.087,,0.4,-0.8,-0.3,0.8
351,17.9,0.57,0.374,19.6,,3.2,2.9,6.1,0.155,,0.7,1,1.7,1.8
352,9.3,0.483,0.08,15,,0.1,0.3,0.3,0.059,,-2.6,-0.6,-3.2,-0.1
353,17.2,0.584,0.229,21.4,,2,1.4,3.5,0.133,,2.1,-0.6,1.5,1.1
353,17.5,0.591,0.248,21.7,,1.6,0.9,2.5,0.129,,2.3,-0.9,1.4,0.8
353,16.2,0.562,0.17,20.4,,0.4,0.6,1,0.147,,1.6,0.4,2,0.3
354,17.2,0.537,0.259,31.6,,1.3,3.7,5,0.092,,1.2,0.1,1.3,2.2
355,2.2,0.383,0.1,14.7,,-0.2,0.1,-0.1,-0.046,,-7.1,-1.6,-8.7,-0.1
356,11.8,0.518,0.174,24.6,,-0.4,0.7,0.3,0.012,,-1.3,-1.7,-3,-0.3
357,16,0.521,0.381,22.6,,0.4,0.7,1.1,0.108,,-2,-1.3,-3.2,-0.1
357,13.5,0.487,0.379,22.2,,-0.1,0.7,0.6,0.071,,-3.5,-1.4,-5,-0.3
357,60.2,0.6,0,43.1,,0.1,0,0.1,0.534,,28,-2.8,25.2,0
357,31.7,0.736,0.478,23.2,,0.4,0,0.4,0.37,,7.8,0.4,8.2,0.1
358,11.5,0.567,0.111,17.3,,1.2,0.5,1.7,0.055,,-1.2,-1.1,-2.3,-0.1
359,6.7,0.5,0,12,,-0.1,0.1,0,0.032,,-6.7,2,-4.7,0
359,3.9,,,0,,0,0,0,0.077,,-6.3,0.2,-6.1,0
359,7.1,0.5,0,13.6,,-0.1,0.1,0,0.026,,-6.7,2.3,-4.5,0
360,12.2,0.46,0.2,17.2,,0,0.1,0.1,0.084,,-3.7,3.3,-0.4,0
361,14.2,0.568,0.205,20.9,,2.1,2.5,4.5,0.104,,-0.2,-0.7,-0.9,0.6
362,11.7,0.521,0.19,19.1,,0.6,1.1,1.6,0.061,,-2.1,-0.6,-2.7,-0.2
362,12.3,0.543,0.223,19.5,,0.4,0.5,0.9,0.051,,-1.8,-0.9,-2.7,-0.2
362,10.4,0.475,0.122,18,,0.2,0.5,0.7,0.083,,-2.8,0.1,-2.8,-0.1
363,16.2,0.577,0.115,17.1,,4.4,1.8,6.2,0.151,,1.1,0.3,1.5,1.7
364,-0.5,0.436,0.333,33.5,,-0.1,0,-0.1,-0.246,,-19.4,-2.3,-21.7,-0.1
365,18.9,0.563,0.548,28.8,,0.1,0.2,0.3,0.092,,-1.2,-0.7,-1.9,0
366,14.6,0.531,0.251,25.6,,0.1,0.7,0.8,0.023,,-0.2,-1.8,-2,0
367,16,0.538,0.19,24.9,,2.8,2.3,5.1,0.1,,1.4,-0.8,0.6,1.6
368,5.8,0.415,0.091,29,,-0.2,0,-0.1,-0.152,,-6.3,-0.9,-7.2,-0.1
369,10.8,0.564,0.235,14.3,,1.2,1.2,2.5,0.091,,-0.8,-0.3,-1.1,0.3
369,10.4,0.56,0.277,14.3,,0.9,1,1.9,0.087,,-1.1,-0.4,-1.5,0.1
369,12.5,0.578,0.096,14.3,,0.3,0.3,0.6,0.107,,0.3,0.4,0.7,0.2
370,6,0.447,0.143,16,,-0.4,0.3,-0.1,-0.012,,-3.9,-1.1,-5,-0.3
370,5.8,0.451,0.152,15.9,,-0.4,0.3,-0.1,-0.013,,-4.1,-1.1,-5.2,-0.3
370,9.8,0.375,0,19.4,,0,0,0,0.016,,0.6,-1.1,-0.5,0
371,8.8,0.522,0.167,15.1,,0,0.9,0.9,0.062,,-3.6,0.3,-3.2,-0.2
372,18.6,0.583,0.28,15.5,,3.3,1.6,4.9,0.131,,1,1.4,2.4,2
373,15.3,0.534,0.317,24,,1,1,2,0.098,,0.9,0.6,1.5,0.9
374,13.5,0.558,0.205,19,,0.5,0.6,1.1,0.116,,-1.1,0.8,-0.3,0.2
375,13,0.613,0.133,17.8,,0.7,0.7,1.3,0.123,,-0.2,0.2,0,0.3
376,18.6,0.571,0.512,20,,1,1.2,2.2,0.15,,-0.3,2.4,2.1,0.7
377,19.3,0.608,0.286,13.8,,1.9,2.5,4.3,0.198,,-1.2,3.3,2.1,1.1
378,9.6,0.469,0.133,22.5,,-0.5,0.8,0.3,0.016,,-2.7,-1.2,-3.9,-0.4
379,6,0.417,0.106,16.6,,-1.3,0.4,-0.8,-0.045,,-5.2,-0.8,-6,-0.9
380,7.3,0.503,0.118,15.3,,0.1,0,0.1,0.035,,-1.9,-2.9,-4.8,-0.1
380,12.1,0.593,0.19,15.6,,0.1,0,0.1,0.097,,1.4,-1.3,0.1,0
380,-0.8,0.346,0,14.8,,-0.1,0,-0.1,-0.068,,-7.5,-5.5,-13,-0.1
381,23.4,0.57,0.442,24.7,,4.4,3.3,7.8,0.189,,2.1,1.7,3.7,2.8
382,12.5,0.558,0.324,14.6,,1.1,0.3,1.4,0.069,,-1.8,-0.3,-2.1,0
383,9,0.589,0.122,11,,0.7,2.5,3.3,0.094,,-2.6,2.1,-0.5,0.6
384,16.8,0.537,0.154,20.8,,0.2,0.8,1,0.125,,-2.5,3,0.4,0.2
385,8.5,0.531,0.247,14.1,,0.2,0.5,0.7,0.057,,-2.8,-1.2,-4,-0.3
386,17.9,0.603,0.246,19.9,,1.4,0.8,2.2,0.115,,-0.6,-0.9,-1.5,0.1
387,7.6,0.489,0.162,17,,-0.7,0.2,-0.5,-0.027,,-4.2,-1.5,-5.7,-0.9
388,9.4,0.492,0.319,15.4,,-0.1,1.4,1.2,0.034,,-3.5,0.4,-3.1,-0.5
389,17.6,0.519,0.24,27.9,,0.4,1.9,2.3,0.097,,1.8,1.2,2.9,1.4
390,14.4,0.61,0.328,18,,2.3,2.5,4.7,0.126,,-0.2,0.9,0.7,1.2
391,11.5,0.536,0.214,18.6,,1.2,0.2,1.5,0.029,,-1.4,-1.8,-3.2,-0.8
392,15.2,0.551,0.29,23.2,,0.9,1.3,2.2,0.054,,-0.3,-0.9,-1.2,0.4
392,13.3,0.545,0.279,20.9,,0.3,0.5,0.8,0.053,,-1.4,-1.2,-2.6,-0.1
392,16.4,0.555,0.296,24.7,,0.5,0.8,1.3,0.054,,0.4,-0.8,-0.4,0.5
393,13.7,0.539,0.642,15,,1.1,1.3,2.3,0.128,,-2.8,1.6,-1.2,0.2
394,15.5,0.56,0.246,24.6,,0.1,1.3,1.4,0.039,,-0.7,-0.9,-1.5,0.2
394,14.6,0.543,0.233,25,,-0.2,0.7,0.5,0.024,,-1.1,-1.1,-2.1,0
394,17,0.587,0.267,24,,0.3,0.6,0.9,0.063,,0,-0.6,-0.6,0.2
395,15.3,0.512,0.268,25.5,,0.6,0.3,0.9,0.044,,-0.3,-2.3,-2.6,-0.1
396,8.5,0.484,0.137,20.3,,-0.6,0.6,0,-0.004,,-3.9,-0.5,-4.4,-0.3
397,8.1,0.493,0.137,12,,0.2,0.9,1.1,0.064,,-2,-0.4,-2.5,-0.1
