Rk,PER,TS%,FTr,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
52,15.4,0.585,0.155,16.5,,2.7,1.9,4.5,0.122,,0.4,0.5,0.9,1.3
53,10.6,0.487,0.192,24.5,,-0.8,0.3,-0.5,-0.03,,-2.4,-2.7,-5.2,-0.7
54,19.3,0.577,0.243,22.9,,4.4,3.7,8.2,0.173,,1.9,1.2,3.1,2.9
55,10.2,0.51,0.123,12.2,,0.2,0.1,0.3,0.03,,-1.9,-1.8,-3.8,-0.2
56,14.1,0.53,0.188,22.3,,1.3,1.4,2.7,0.067,,-0.1,-0.6,-0.6,0.7
57,16.1,0.613,0.29,22.4,,3.9,2.8,6.8,0.126,,1.3,-0.6,0.7,1.7
58,13.4,0.523,0.083,14.5,,0.1,0.2,0.3,0.111,,-3.7,0.8,-2.9,0
59,12.7,0.595,0.167,13.8,,0.5,0.9,1.4,0.106,,-1.8,1.1,-0.7,0.2
60,6,0.24,0.455,15.7,,-0.3,0.2,-0.1,-0.059,,-7,2.2,-4.8,-0.1
61,20.2,0.584,0.362,32.9,,3.3,0.3,3.5,0.076,,3.3,-2.3,1,1.7
62,22.2,0.563,0.197,23.6,,0.2,0.4,0.7,0.194,,-0.2,2.8,2.6,0.2
63,7.6,0.496,0.082,16.2,,-0.6,1,0.3,0.009,,-2.8,-0.9,-3.7,-0.8
63,5.5,0.464,0.06,14.2,,-1,0.6,-0.3,-0.011,,-3.7,-0.9,-4.6,-1
63,14.5,0.565,0.133,22.9,,0.3,0.4,0.7,0.074,,0.1,-1,-0.9,0.1
64,19.6,0.504,0.125,23.6,,0,0.1,0.1,0.13,,-3.6,-2.4,-6,0
65,11.6,0.532,0.35,13.6,,0.4,0.6,1,0.095,,-2.9,1.6,-1.3,0.1
65,10.8,0.484,0.265,18.8,,-0.1,0.2,0.1,0.044,,-5.1,1.5,-3.6,-0.1
65,12,0.562,0.405,11.5,,0.5,0.4,0.8,0.115,,-2,1.6,-0.4,0.1
66,10.8,0.556,0.21,12.2,,1.7,1.2,2.9,0.058,,-2,0.4,-1.6,0.3
67,13.1,0.548,0.151,15.1,,1.4,1.5,2.9,0.083,,-0.9,0.1,-0.8,0.5
68,6.7,0.455,0.188,14.1,,-0.3,0.5,0.3,0.023,,-5.4,0.4,-5,-0.4
69,10.7,0.621,0.151,14.3,,0.5,0.3,0.8,0.086,,-0.5,-0.5,-1,0.1
70,17.8,0.614,0.203,20.7,,4.2,2.3,6.5,0.171,,2,0.1,2.2,1.9
71,7.6,0.499,0.246,20.9,,-0.3,0.3,0,-0.004,,-5,-1.2,-6.3,-0.4
72,11.6,0.518,0.195,23.6,,-0.2,0.3,0.1,0.018,,-1.9,-1.1,-3,-0.1
73,6.9,0.469,0.191,11.5,,-0.1,1.6,1.5,0.048,,-4.4,1,-3.3,-0.5
74,13.5,0.547,0.255,22.1,,0.7,2.4,3,0.076,,-1.6,-0.4,-2.1,0
75,6.3,0.38,0.042,17.9,,-0.5,0.3,-0.1,-0.027,,-5.4,1.9,-3.5,-0.1
76,10.9,0.563,0.135,15.2,,0.7,1.4,2.1,0.098,,-1.8,0.3,-1.5,0.1
77,11.1,0.487,0.201,16.5,,0.2,0.4,0.6,0.039,,-1.7,-1,-2.7,-0.1
78,12.8,0.549,0.212,19.1,,1.5,1,2.6,0.077,,-1.2,-0.5,-1.7,0.1
79,21,0.674,0.273,17.6,,4.3,1.3,5.6,0.178,,2.3,-0.3,2,1.5
80,10.5,0.563,0.143,15.8,,1.6,1.4,3.1,0.078,,-0.7,-0.4,-1.1,0.4
80,11,0.569,0.145,16.7,,1.4,1,2.4,0.084,,-0.1,-0.5,-0.6,0.5
80,9.1,0.545,0.137,13.7,,0.2,0.4,0.7,0.061,,-2.1,-0.1,-2.2,0
81,16.5,0.524,0.226,24.8,,1.4,0.5,1.9,0.081,,1.5,-1.4,0.1,0.6
81,15.6,0.496,0.209,26.1,,0.4,0.2,0.6,0.044,,0.9,-1.5,-0.6,0.2
81,17.9,0.574,0.258,22.8,,1,0.3,1.3,0.14,,2.3,-1.1,1.2,0.3
82,12.7,0.523,0.297,19,,0.7,0.8,1.5,0.052,,-0.6,-0.7,-1.2,0.3
82,12.4,0.547,0.333,23.2,,0.2,0.3,0.5,0.084,,-0.4,-0.2,-0.6,0.1
82,13.2,0.517,0.288,19.2,,0.6,0.3,0.9,0.042,,-0.2,-1.2,-1.4,0.1
82,9,0.495,0.25,8.5,,0,0.2,0.2,0.062,,-3.9,2.8,-1.1,0
83,7,0.47,0.146,16.3,,-0.2,0.3,0.1,0.027,,-4.9,0.6,-4.3,-0.1
84,20.2,0.571,0.404,22.3,,5.4,2.5,7.9,0.173,,2.8,0.9,3.7,3.2
84,22.3,0.579,0.389,23,,1,0.4,1.3,0.176,,4.7,2.2,6.9,0.8
84,19.8,0.569,0.407,22.1,,4.4,2.1,6.6,0.172,,2.4,0.7,3.1,2.4
85,12.4,0.571,0.222,15.9,,0.6,0.9,1.5,0.09,,-1.1,0.1,-1.1,0.2
86,7.1,0.453,0.092,10.9,,0,0.5,0.6,0.043,,-4.2,0.3,-3.9,-0.3
87,12.9,0.568,0.209,18.1,,2.3,1.8,4,0.095,,-0.3,-0.1,-0.5,0.8
88,8,0.518,0.146,14.2,,0,0.1,0.1,0.008,,-2.7,-1.4,-4.1,-0.3
