Rk,PER,TS%,FTr,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,11.2,0.493,0.75,16.8,0.1,0.1,0.1,0.106,-4,-0.2,-4.3,0
2,14.7,0.584,0.353,19.1,4.7,0.6,5.3,0.121,1.4,-1.2,0.1,1.1
3,-7.3,0.357,0,28.4,-0.2,0,-0.2,-0.315,-12.7,-6.8,-19.5,-0.1
4,14.2,0.418,0.222,17.2,0,0.2,0.2,0.083,-2.9,0.7,-2.2,0
5,17.7,0.592,0.333,14.9,0.3,0.4,0.6,0.176,-1.3,2.2,1,0.1
6,22.7,0.56,0.291,27,5.4,1.6,7,0.169,3.4,-0.4,3,2.5
7,12.7,0.488,0.084,14.5,0.4,1.2,1.6,0.124,-2.8,1,-1.7,0
8,14.8,0.607,0.215,18.6,2.5,2.2,4.7,0.145,1.5,0.7,2.2,1.6
9,15.7,0.541,0.391,18.4,1.7,2.5,4.2,0.131,-0.6,2.3,1.7,1.4
10,8.7,0.382,0.176,12.9,-0.1,0.1,0,0.032,-6,4.2,-1.8,0
11,10.6,0.481,0.312,16.2,-0.4,1.8,1.4,0.044,-2.9,0.6,-2.2,-0.1
12,11.5,0.438,0.396,17.3,-0.3,1.3,1,0.062,-4,0.1,-4,-0.4
13,18.9,0.583,0.759,14.8,1,0.8,1.9,0.183,0.5,1.8,2.3,0.5
14,8.7,0.519,0.239,18.6,0.1,0.2,0.3,0.032,-1.7,-1.3,-3,-0.1
15,8.8,0.483,0.299,17.2,0.1,0.4,0.5,0.04,-2.7,-1.4,-4.1,-0.3
16,21.2,0.589,0.226,21.2,7,1.9,8.9,0.219,5.2,-1.1,4,3
17,21.1,0.525,0.358,31.8,3.7,2.6,6.2,0.16,3.8,-0.2,3.6,2.7
18,10.3,0.598,0.467,7.8,1.2,2.2,3.4,0.122,-2,1.6,-0.5,0.5
19,9.9,0.526,0.156,17.3,0.1,0.3,0.4,0.088,-3.3,2,-1.3,0
20,14.2,0.496,0.253,18.4,0.5,1.7,2.2,0.078,-0.4,1.7,1.3,1.1
