Rk,PER,TS%,3PAr,FTr,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
38,14.9,0.545,0.282,0.404,22,1.7,0.1,1.8,0.064,0.6,-1.8,-1.2,0.3
39,15.5,0.51,0.132,0.234,28.3,0.7,1,1.7,0.035,0,-1.8,-1.8,0.1
40,11.4,0.5,0.372,0.135,26.7,-0.4,0.7,0.2,0.022,-3.2,0.5,-2.7,-0.1
41,12.1,0.56,0.469,0.181,20,1.9,1.5,3.4,0.084,0.2,-0.8,-0.6,0.7
42,4.7,0.357,0.488,0.093,13.1,-0.2,0,-0.1,-0.04,-4.2,-0.8,-5,-0.1
43,8.2,0.528,0.413,0.218,12.6,1.2,0.5,1.7,0.04,-2.4,-0.7,-3.1,-0.6
44,10.9,0.57,0.604,0.108,14.6,2.2,1.8,4,0.085,-0.6,-0.4,-0.9,0.6
44,11.7,0.57,0.58,0.104,15,1.9,1.2,3.1,0.089,-0.3,-0.3,-0.6,0.6
44,1.1,0.111,0.444,0,15.2,-0.1,0,-0.1,-0.161,-8.4,-0.7,-9.1,-0.1
44,9,0.601,0.698,0.127,13.3,0.4,0.6,1,0.084,-1,-0.5,-1.5,0.1
45,12.1,0.526,0,0.117,10.6,1.1,1.5,2.6,0.088,-2.5,0.2,-2.3,-0.1
46,18.7,0.617,0.457,0.528,22.3,6.6,1.4,8,0.166,3.7,-1.2,2.6,2.7
46,18.6,0.634,0.444,0.535,21.4,4.7,1.1,5.8,0.171,3.8,-0.9,2.9,2.1
46,19.1,0.582,0.484,0.512,24.3,1.9,0.2,2.1,0.155,3.4,-1.8,1.6,0.6
47,17.1,0.524,0.003,0.235,20.1,1.5,3.2,4.8,0.132,-1.2,0.7,-0.5,0.7
48,7.5,0.5,0.631,0.098,11.3,0.3,1.5,1.8,0.055,-2.6,0.2,-2.3,-0.1
49,16.9,0.497,0.019,0.296,25.5,0.3,2.1,2.4,0.053,-0.3,-0.5,-0.9,0.6
50,10.8,0.499,0.239,0.274,17.9,-1.3,1.6,0.3,0.008,-2.4,0.2,-2.2,-0.1
51,9,0.559,0.772,0.104,11.4,1.4,2.2,3.6,0.118,-1.5,1.4,-0.2,0.7
52,16.7,0.496,0.005,0.292,19.6,0.3,5.1,5.4,0.112,-1,2.4,1.3,1.9
53,13.5,0.617,0.62,0.116,13.4,3,1.4,4.4,0.147,1.7,0.2,1.9,1.4
54,15.3,0.582,0.004,0.399,13.9,1.8,0.8,2.6,0.119,-0.6,-0.3,-0.9,0.3
55,18.8,0.542,0,0.289,26.9,1.9,3.9,5.8,0.149,0.2,0.8,1,1.4
56,19.4,0.569,0.024,0.446,23.5,6.1,4.3,10.3,0.177,1.4,-0.2,1.3,2.3
57,17.6,0.526,0.202,0.233,23.9,1.1,1.1,2.3,0.125,2.1,0.4,2.4,1
58,0.1,0.25,0.313,0,22.3,-0.1,0,-0.1,-0.154,-8.4,-4.1,-12.5,-0.1
59,2.2,0.36,0.075,0.179,26.1,-0.8,0.3,-0.5,-0.139,-10.8,-0.3,-11.1,-0.4
60,18.5,0.553,0.001,0.278,19.7,5.1,4.4,9.4,0.161,0.7,0.6,1.3,2.4
61,11,0.482,0.23,0.393,18.8,-0.1,1.3,1.1,0.036,-3.5,1.2,-2.3,-0.1
61,10.3,0.471,0.227,0.391,18.4,-0.4,1,0.6,0.023,-3.8,1,-2.8,-0.3
61,17.6,0.573,0.255,0.412,22.2,0.3,0.3,0.5,0.163,-0.8,2.6,1.8,0.1
62,13.8,0.518,0.063,0.311,13.9,1.7,3.8,5.4,0.147,-1.3,3.7,2.4,2
63,9.6,0.567,0,0.628,10,0.8,1,1.9,0.132,-4.1,0.2,-3.9,-0.3
64,13.1,0.489,0.402,0.239,25.9,0.7,0.4,1.1,0.04,-0.3,-2.7,-3,-0.3
64,11.7,0.465,0.437,0.214,26.1,0.1,0.3,0.4,0.023,-1.3,-2.8,-4.1,-0.4
64,15.6,0.533,0.335,0.285,25.7,0.6,0.1,0.7,0.07,1.3,-2.4,-1.1,0.1
65,12.9,0.588,0.076,0.458,15.5,0.5,0.5,1,0.083,-1.4,-0.1,-1.6,0.1
65,12.4,0.565,0.053,0.416,15.6,0.3,0.4,0.8,0.074,-1.7,0,-1.6,0
65,16,0.717,0.222,0.722,15.5,0.2,0.1,0.2,0.13,-0.2,-1.1,-1.2,0
66,12.8,0.55,0,0.616,14.9,1.8,1.7,3.5,0.097,-1.9,-0.9,-2.8,-0.3
67,13.6,0.518,0.33,0.157,22.2,1.1,1.9,3.1,0.093,-0.9,0.2,-0.8,0.5
68,23.9,0.548,0.217,0.356,35.1,6.8,3.5,10.3,0.178,5.4,-0.2,5.2,5
69,14.2,0.534,0.418,0.21,19.9,2.2,1.2,3.4,0.095,0.6,-0.8,-0.2,0.8
70,14.2,0.523,0.172,0.233,25.1,0.2,1,1.2,0.067,-0.8,0,-0.9,0.2
71,6.2,0.446,0.574,0.114,15.8,-0.5,0.3,-0.1,-0.009,-2.3,-1.5,-3.8,-0.4
71,5.9,0.433,0.571,0.119,15.6,-0.5,0.3,-0.2,-0.013,-2.5,-1.5,-4,-0.4
71,14.5,0.727,0.636,0,23,0,0,0.1,0.107,2.5,-2.4,0.1,0
72,21.1,0.606,0,0.506,17.6,3.8,2.8,6.6,0.21,1.8,1.4,3.2,2
73,15.2,0.524,0.123,0.3,22.5,1.1,0.4,1.5,0.066,-0.8,-1,-1.9,0
74,16.3,0.522,0.262,0.173,16.8,3.2,0.4,3.7,0.084,1.9,-1.2,0.8,1.5
75,14.8,0.426,0.003,0.238,11.7,0.8,3,3.7,0.116,-0.7,2.2,1.5,1.4
76,10,0.532,0,0.348,20.2,0,0.3,0.3,0.057,-6.6,-0.5,-7.1,-0.3
77,9.7,0.672,0.87,0.18,9.5,1,0.7,1.7,0.132,-1.2,2.4,1.2,0.5
78,10.8,0.521,0.345,0.245,18.1,0.1,0.2,0.3,0.038,-1.5,-1.2,-2.8,-0.1
78,10.7,0.526,0.346,0.252,18,0.1,0.2,0.3,0.038,-1.5,-1.3,-2.8,-0.1
78,20.4,0.333,0.333,0,27.1,0,0,0,0.071,-0.6,1.9,1.2,0
79,8.7,0.388,0,0.167,11.6,0,0,0.1,0.066,-2.9,-0.5,-3.5,0
79,12.4,0.506,0,0.222,11.4,0.1,0,0.1,0.145,-1.5,0.1,-1.4,0
79,-4.5,0,0,0,12,0,0,0,-0.214,-8,-2.8,-10.8,0
80,12.2,0.53,0.231,0.261,19.8,0.3,0.5,0.8,0.062,-1.9,-0.8,-2.7,-0.1
81,9.2,0.502,0.377,0.075,14.3,-0.2,0.4,0.2,0.023,-3.3,0.9,-2.4,-0.1
