Rk,PER,TS%,FTr,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,10.9,0.576,0.168,14,2.8,1.4,4.3,0.092,-0.2,-0.2,-0.4,0.9
2,6.3,0.479,0.1,19.3,-0.1,0,0,-0.013,-6.3,1,-5.3,0
3,18.2,0.535,0.26,22.9,5.5,3.3,8.8,0.145,1.4,-0.2,1.2,2.3
4,2.8,0.273,0.5,11.3,0,0,0,0.03,-9.1,0.9,-8.3,0
5,5.9,0.431,0.112,14,-0.3,0.3,0.1,0.009,-4.7,-1,-5.7,-0.4
6,15.2,0.601,0.26,20.2,5.1,2.9,7.9,0.135,1.5,-0.3,1.2,2.3
7,14.2,0.54,0.47,19.6,0.2,1.6,1.9,0.1,-1.8,2.2,0.4,0.5
8,8.2,0.443,0.182,18.8,-1.6,1.2,-0.4,-0.013,-3.3,-0.5,-3.8,-0.6
8,8.7,0.436,0.195,21.7,-1.2,0.4,-0.8,-0.051,-3,-1.1,-4,-0.4
8,7.7,0.456,0.16,15.4,-0.4,0.8,0.4,0.031,-3.7,0.3,-3.4,-0.2
9,14.4,0.562,0.446,14.6,1.5,1.3,2.9,0.118,-1.5,0.4,-1.1,0.3
10,15.8,0.631,0.94,10.8,3.2,2.7,5.9,0.166,-0.1,1.9,1.8,1.6
11,12.1,0.497,0.197,20.2,0.4,0.9,1.3,0.07,-2,-0.6,-2.6,-0.1
12,-1.7,0.333,0,12,0,0,0,-0.104,-7.6,-4.8,-12.4,0
13,18.1,0.574,0.211,24.4,1.7,1.4,3.1,0.161,2.6,-0.3,2.3,1
14,22.2,0.548,0.407,33.4,5.6,2.4,7.9,0.145,3.5,-1.2,2.3,2.9
15,10.2,0.546,0.579,8.7,1,2,3.1,0.111,-3.4,1.7,-1.7,0.1
16,18.7,0.511,0.336,31.9,0.9,0.9,1.8,0.072,2.9,-1.2,1.7,1.1
17,13.3,0.488,0.228,21.2,0.1,3.1,3.2,0.058,-0.4,0.9,0.5,1.7
18,6.9,0.381,0.405,15.5,-0.5,0.4,-0.1,-0.017,-6.7,0.5,-6.1,-0.4
18,7.5,0.409,0.56,14.4,-0.2,0.3,0.1,0.01,-6.4,0.6,-5.8,-0.2
18,8.4,0.388,0.167,13.3,-0.1,0.1,0,-0.012,-4,1,-3,0
18,1.1,0.28,0.118,25.3,-0.2,0.1,-0.2,-0.185,-12,-0.6,-12.6,-0.1
19,12.3,0.529,0.24,13.9,2.2,1.5,3.7,0.113,-1.5,0.1,-1.5,0.2
20,10.5,0.449,0.205,17.4,-0.1,0.4,0.3,0.031,-3.7,-0.4,-4.1,-0.2
21,8.3,0.477,0.172,14.4,0.2,0.1,0.2,0.017,-2.9,-1.4,-4.3,-0.4
22,11.2,0.516,0.301,17.9,1.1,1.7,2.8,0.092,-1.5,0.3,-1.1,0.3
23,12.1,0.705,0.308,10.1,0.8,0.6,1.3,0.156,-3.4,0.4,-3,-0.1
24,19.8,0.623,0.318,19.9,0.6,0.1,0.7,0.148,3.3,-1.1,2.1,0.2
25,6.6,0.339,0.333,13,-0.2,0.2,0,-0.001,-5.8,3.3,-2.4,0
26,15.3,0.635,0.397,19.8,0.4,0.1,0.5,0.095,-0.4,0.1,-0.3,0.1
27,14,0.526,0.2,24.9,0.7,0.4,1.1,0.065,-0.8,-1.3,-2.1,0
28,12.8,0.526,0.171,19.9,1,1.2,2.2,0.069,-0.6,-0.7,-1.3,0.3
29,15.5,0.552,0.205,22.3,3.3,0.9,4.2,0.072,0.9,-1.7,-0.8,0.9
30,13.6,0.576,0.262,16.2,2.5,3.4,5.9,0.135,-0.1,1.3,1.3,1.7
31,14.7,0.508,0.426,17.9,0.3,0.2,0.4,0.091,-1.5,-2.9,-4.5,-0.1
32,16.5,0.556,0.27,20.9,1,1,2,0.147,-0.7,0.1,-0.6,0.2
33,6.1,0.405,0.25,16.2,-0.1,0.1,0,-0.014,-6.2,-1.8,-8,-0.2
34,11.1,0.541,0.237,11.4,2.2,2.1,4.3,0.095,0.1,1.4,1.5,1.9
35,17.3,0.646,0.19,16.4,2.4,1.1,3.5,0.181,2.8,1.1,3.9,1.4
36,14.3,0.534,0.501,24.9,1.7,1,2.7,0.098,-0.7,-1,-1.7,0.1
37,16.1,0.505,0.231,25.8,0.8,3.8,4.6,0.095,-0.9,0.1,-0.8,0.7
38,18.5,0.617,0.174,24.7,1.1,0.8,2,0.134,1.3,0.2,1.5,0.6
39,12.6,0.543,0.319,20.1,0.9,0.2,1.2,0.049,-0.3,-1,-1.3,0.2
40,7.9,0.486,0.151,14.8,0.1,1.9,2,0.06,-2.9,0.5,-2.4,-0.2
41,13.8,0.57,0.049,17.3,0.3,0.2,0.5,0.131,1.5,1.8,3.3,0.2
41,12.8,0.533,0.055,18.2,0.2,0.2,0.4,0.113,0.5,2,2.5,0.2
41,20.6,0.917,0,11.2,0.1,0,0.1,0.256,8,0.7,8.7,0.1
42,10.8,0.529,0.26,21.6,-0.2,0.2,0,-0.001,-3.3,-0.8,-4.1,-0.2
43,12.7,0.538,0.123,16.1,3,1.7,4.8,0.104,0.1,-0.2,-0.2,1
44,13,0.561,0.182,10.1,0.7,0.9,1.6,0.101,-1.9,1.7,-0.2,0.4
45,20.2,0.601,0.532,24.3,7.7,1.7,9.5,0.182,4.5,-0.8,3.7,3.6
46,17.7,0.564,0.325,20.8,1.8,2.8,4.6,0.147,-1,0.4,-0.7,0.5
47,11.6,0.539,0.092,14.5,1.9,1.4,3.3,0.074,-0.1,-0.4,-0.5,0.8
47,11.2,0.526,0.09,14.8,1.3,1.1,2.4,0.082,0.1,0.1,0.2,0.8
47,12.3,0.569,0.096,14.1,0.6,0.3,0.9,0.058,-0.5,-1.3,-1.8,0
48,17.6,0.519,0.234,25.8,0.8,2.6,3.4,0.073,0.2,0.4,0.6,1.5
49,7.7,0.542,0.168,11,0.7,1.9,2.6,0.081,-2.7,1.5,-1.2,0.3
50,20.7,0.54,0.26,23.3,2.6,4.8,7.5,0.161,0.8,2.2,3.1,2.8
51,14.9,0.581,0.129,17,2.1,1.6,3.7,0.153,1.8,0.9,2.6,1.3
52,13.7,0.509,0.26,12.5,0.7,1.1,1.8,0.084,-1.8,-0.2,-2,0
53,21.3,0.599,0.35,24.8,5.3,4.6,9.9,0.178,2.4,1.1,3.4,3.7
54,25,0.592,0.509,28.7,7.9,1.7,9.6,0.182,4.8,-1.2,3.6,3.6
55,31.3,1.064,2,10.5,0.1,0,0.1,0.509,4.1,7.7,11.8,0
56,12.9,0.498,0.221,20.7,0.6,0.3,1,0.042,-0.5,-2,-2.4,-0.1
57,15.7,0.518,0.272,21.7,1.6,1.9,3.5,0.073,-1.1,-0.7,-1.8,0.1
58,12.1,0.502,0.27,21.5,-0.4,1.4,1,0.02,-2.1,-0.1,-2.2,-0.1
59,12.5,0.524,0.31,13.9,1.6,2.2,3.7,0.103,-0.8,2,1.1,1.4
59,12.8,0.53,0.308,14.1,1.7,2.1,3.8,0.108,-0.6,1.9,1.3,1.4
59,5.9,0.329,0.385,9.4,-0.1,0.1,0,-0.01,-5.1,2.5,-2.6,0
60,4.9,0.332,0.231,14.6,-0.1,0.1,0,-0.007,-7.4,-2.6,-10,-0.2
60,0.4,0.18,0.154,17.6,-0.1,0,-0.1,-0.113,-10.7,-5.9,-16.6,-0.1
60,7.6,0.474,0.308,12.9,0,0.1,0.1,0.057,-5.4,-0.6,-6,-0.1
61,12.4,0.564,0.602,10.4,1.2,0.5,1.7,0.125,-1.8,-1.2,-3,-0.2
62,16,0.549,0.224,25.7,3.9,1.6,5.5,0.091,2.3,-1.6,0.7,1.9
63,9.3,0.441,0.063,25.4,-0.7,0.2,-0.5,-0.05,-2.7,-2.6,-5.3,-0.4
63,10,0.466,0.053,25,-0.3,0.1,-0.2,-0.026,-2.6,-2.2,-4.8,-0.2
63,8.2,0.397,0.082,26.1,-0.4,0.1,-0.4,-0.092,-2.8,-3.4,-6.2,-0.2
64,12.6,0.52,0.49,17.2,0.5,0.8,1.3,0.114,-1.7,1.1,-0.6,0.2
65,10,0.5,0.238,19.8,-0.2,0.6,0.4,0.017,-1.9,-0.8,-2.7,-0.2
65,10.9,0.522,0.265,19.8,0.1,0.5,0.6,0.031,-1.4,-0.8,-2.2,0
65,0.4,0.278,0,19.8,-0.4,0.1,-0.3,-0.129,-8,-0.3,-8.3,-0.1
66,7.9,0.47,0.79,14.7,-0.6,0.5,-0.1,-0.009,-5,-0.6,-5.6,-0.6
67,12.4,0.517,0.204,18.8,1.1,2.3,3.4,0.096,-1.2,0.8,-0.4,0.7
68,21.9,0.545,0.345,32.3,5.4,4,9.4,0.16,3.9,0.2,4.1,4.4
69,14.1,0.545,0.154,19.4,1.9,1.2,3.1,0.1,1.1,-0.7,0.5,0.9
70,13.7,0.507,0.3,22.1,0.6,2.9,3.5,0.061,-1.3,0,-1.3,0.5
70,13.5,0.506,0.304,22,0.4,1.7,2.1,0.054,-1.1,-0.2,-1.3,0.3
70,14.2,0.509,0.291,22.3,0.2,1.2,1.4,0.075,-1.6,0.3,-1.3,0.2
71,10.7,0.524,0.167,17,1.8,0.9,2.7,0.048,-0.8,-1.1,-1.9,0.1
72,20.2,0.608,0.379,20.8,4.4,3.4,7.8,0.188,1.1,0.4,1.5,1.8
73,13.8,0.513,0.333,20.1,1.3,0.6,1.9,0.054,-1,-1.3,-2.2,-0.1
74,16.5,0.569,0.183,17.9,4.2,0,4.2,0.111,2.5,-1.9,0.6,1.2
75,17.9,0.501,0.244,12.8,2.5,4.3,6.8,0.142,0.7,2.6,3.3,3.1
75,18.3,0.497,0.256,13,1.7,2.8,4.6,0.137,0.8,2.7,3.5,2.2
75,17,0.511,0.214,12.3,0.8,1.5,2.3,0.152,0.4,2.5,2.9,0.9
76,6.9,0.546,0.5,8.3,0.3,0.1,0.4,0.071,-5.3,0.9,-4.4,-0.2
77,12.7,0.515,0.223,17.6,0.9,0.6,1.5,0.082,-0.6,-0.7,-1.3,0.2
78,8.5,0.426,0.239,14.8,-0.1,0.6,0.5,0.031,-3.8,-0.4,-4.2,-0.4
79,7.1,0.437,0.12,22.7,-0.2,0.1,-0.1,-0.029,-6.1,-1.5,-7.6,-0.2
80,10.3,0.482,0.072,12.6,0.1,0.8,0.9,0.051,-1.7,0.9,-0.8,0.3
81,17.1,0.541,0.301,25.2,4.4,3,7.4,0.154,1.6,0.4,2,2.3
82,13,0.529,0.259,19.4,1.1,1.4,2.5,0.063,-0.3,-0.8,-1.1,0.4
83,10.7,0.519,0.242,16.3,0.3,2.4,2.7,0.072,-2.3,1.1,-1.3,0.3
84,12.5,0.643,0.826,14,0.9,2,2.9,0.12,-3.1,1.1,-2,0
85,13.7,0.534,0.186,20.2,1.8,0.9,2.7,0.057,-1,-1.1,-2.1,0
86,8.5,0.42,0.238,21.9,-0.5,0.2,-0.3,-0.033,-3.9,-1.6,-5.5,-0.3
87,3.7,0.405,0.806,8.8,-0.1,0.1,0.1,0.01,-5.4,-1.3,-6.7,-0.3
88,0.9,0.335,0.087,11.6,-0.2,0.1,-0.1,-0.044,-8.3,-0.5,-8.8,-0.2
89,5.7,0.404,0.164,16.3,-0.8,0.3,-0.5,-0.049,-6.3,0.5,-5.8,-0.4
90,16.5,0.546,0.221,23.1,1.9,1.1,2.9,0.067,0.9,-1.8,-0.8,0.6
91,13.1,0.616,0.346,12.1,2.6,2.2,4.7,0.146,-1.9,0.8,-1.2,0.3
92,13.9,0.526,0.225,18.4,2.6,1.3,4,0.074,0,-0.6,-0.6,0.9
93,-2.4,0.276,0.2,18.3,-0.2,0,-0.1,-0.192,-10.7,-2.8,-13.5,-0.1
94,2.4,0.403,0.304,32.2,-0.2,0,-0.2,-0.191,-8.9,-2.4,-11.3,-0.1
95,7.5,0.422,0.099,19.6,-0.7,0.8,0.1,0.01,-2.9,-0.4,-3.3,-0.2
96,18.4,0.573,0.285,25.8,5.6,1.7,7.3,0.143,3.5,-1.1,2.4,2.7
97,14.3,0.517,0.224,16.8,0.9,1,1.9,0.129,-2,0.2,-1.8,0
98,-1.9,0.456,0.81,30.2,-0.4,0,-0.3,-0.258,-14.4,-4.1,-18.5,-0.3
99,,,,,0,0,0,,-6.4,-0.6,-7,0
100,16.3,0.568,0.175,21.8,3,1.6,4.7,0.077,1.1,-0.5,0.7,2
101,16.8,0.573,0.254,15.1,2.3,3,5.2,0.118,-1.2,0.3,-0.9,0.6
102,14,0.637,0.474,11.4,1.8,2,3.7,0.14,-1.6,1,-0.6,0.5
103,9.6,0.526,0.225,15.8,0.2,1,1.3,0.064,-2.9,0.2,-2.7,-0.2
104,17.4,0.501,0.287,24.3,2.5,2.1,4.5,0.086,1.5,0,1.5,2.2
105,11.5,0.5,0.495,19.7,0.5,1.2,1.6,0.084,-3.2,-1.3,-4.5,-0.6
106,33.3,0.512,0.5,27.6,0,0,0,0.295,11.9,6.3,18.2,0
107,8.5,0.504,0.217,16.8,-0.1,0.2,0.1,0.005,-3,-0.9,-4,-0.2
108,12.8,0.546,0.19,18.5,0.6,0.7,1.3,0.067,-1.7,-0.1,-1.8,0.1
109,12.9,0.526,0.163,18,1.1,3.7,4.8,0.101,-0.1,1.5,1.5,2
110,16.1,0.531,0.325,21.9,2.5,3.4,5.9,0.106,0.7,0.3,1,2
111,12.5,0.554,0.379,18.1,2,0.3,2.3,0.066,-1.5,-1.3,-2.8,-0.3
112,12.8,0.552,0.19,16.2,2.4,3.8,6.2,0.103,-0.1,0.9,0.8,2
113,-3.7,0.25,0,13.9,-0.2,0,-0.1,-0.124,-10.5,-0.9,-11.4,-0.1
114,7.6,0.255,0.4,10.5,0,0.1,0,0.019,-4.6,2.1,-2.5,0
114,7.9,0.218,0.333,12.1,0,0,0,-0.005,-5.4,4.1,-1.3,0
114,7.3,0.307,0.5,8.9,0,0,0,0.043,-3.8,0.2,-3.7,0
115,7.8,0.485,0.31,8,-0.1,0.5,0.4,0.072,-3.6,1.5,-2.1,0
116,11.6,0.519,0.188,19.4,0.4,0.3,0.7,0.035,-1.2,-1.6,-2.8,-0.2
117,9.8,0.455,0.6,13.1,0,0.1,0.1,0.062,-5.1,-0.1,-5.2,-0.1
117,11.5,0.463,0.182,13,0,0.1,0.1,0.088,-4.6,0.4,-4.1,0
117,7.9,0.448,1.111,13.1,0,0.1,0,0.035,-5.7,-0.7,-6.4,-0.1
118,14.9,0.571,0.174,19.8,1.8,0.4,2.2,0.097,0.5,-0.8,-0.4,0.5
119,11.5,0.512,0.274,19.6,-0.2,0.9,0.7,0.02,-2.2,-0.9,-3.2,-0.5
120,14.8,0.566,0.324,21.1,2,0.8,2.8,0.094,0.8,-0.7,0.1,0.8
121,13.6,0.612,0.282,13.7,4,1.3,5.3,0.129,1.4,0.7,2.1,2.1
122,10.7,0.501,0.211,13.1,1.5,0.5,1.9,0.045,-1.2,-1.3,-2.5,-0.3
123,24.7,0.56,0.346,26,6.4,4.5,10.9,0.215,4.4,1.8,6.1,5
