Rk,PER,TS%,FTr,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
47,2.4,0.412,6,5.7,-0.1,0,0,-0.033,-6.2,-2,-8.2,-0.1
48,5.3,0.427,0.152,15.1,-0.3,0.1,-0.3,-0.042,-4.2,-1.6,-5.8,-0.3
49,13.3,0.606,0.618,9.6,1.1,2.1,3.2,0.144,-2.9,1.7,-1.2,0.2
50,17.3,0.557,0.308,19.6,1.8,1.5,3.4,0.133,-1.2,0.1,-1.1,0.3
51,11,0.508,0.122,13.8,0.7,1.1,1.8,0.058,-1.2,0.1,-1.1,0.4
51,12.1,0.515,0.15,15.7,0.4,0.3,0.8,0.041,-0.7,-0.5,-1.2,0.2
51,9.4,0.494,0.067,11.2,0.3,0.7,1.1,0.084,-2,0.9,-1,0.2
52,18.8,0.532,0.328,25.6,1.6,2.1,3.7,0.109,0.1,-0.1,0,0.8
53,19.6,0.578,0.426,24.9,2.6,1.6,4.1,0.14,2.3,0.7,3.1,1.8
54,0.5,0.403,1.25,24.3,-0.1,0,-0.1,-0.214,-10,-3.8,-13.8,0
55,9.9,0.82,0.5,6.7,0.1,0,0.1,0.121,-1.4,-0.6,-2,0
56,17,0.61,0.171,12.4,2.4,4,6.5,0.176,-0.2,3.2,3,2.2
57,11.2,0.582,0.073,12.1,0.8,1,1.8,0.123,0,1.1,1,0.5
58,15,0.563,0.189,14.4,2.3,2,4.3,0.132,-0.5,0.4,-0.1,0.7
59,14.4,0.489,0.197,26.3,-0.9,4.3,3.4,0.076,-2.3,0.2,-2.1,-0.1
60,19,0.597,0.285,22.6,4.6,3.4,8,0.152,1.3,-0.4,0.8,1.8
61,12.7,0.51,0.136,23.2,0.4,1.4,1.8,0.046,-1.1,-0.8,-1.9,0.1
62,14,0.561,0.283,13.9,1.4,2.1,3.6,0.121,-2.4,1.6,-0.8,0.4
63,12.7,0.55,0.281,16.5,2.4,2.7,5.2,0.095,-1.7,1.5,-0.2,1.2
64,3.4,0.22,0.133,4.9,-0.1,0.1,0,0.004,-3.8,1.4,-2.4,0
