Rk,PER,TS%,FTr,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,14.7,0.629,0.318,13.1,1.8,0.7,2.5,0.137,-0.2,0.2,-0.1,0.4
2,17.3,0.427,0.833,30.5,0,0,0,0.015,-2.5,9.4,6.9,0
3,15.5,0.621,0.46,12.6,4.2,2.3,6.5,0.155,0,0.2,0.2,1.1
4,10.9,0.531,0.164,17.9,1.8,0.9,2.7,0.055,-1.3,-1.6,-2.9,-0.5
5,13.8,0.514,0.197,20.4,0.2,0.9,1,0.058,-3.4,-0.6,-4,-0.4
6,21.3,0.626,0.373,18.4,1.4,2,3.5,0.209,-0.9,3.4,2.4,0.9
7,22.4,0.565,0.289,25.9,5.6,4.5,10.1,0.215,2,0.3,2.3,2.5
8,11.6,0.5,0,13.3,0,0,0,0.052,-0.5,0.5,0,0
9,12.4,0.532,0.197,13,1.6,2.1,3.7,0.11,-1.7,0.1,-1.6,0.2
10,12.9,0.505,0.294,16.8,0.5,1.9,2.4,0.072,-2.2,1.2,-1,0.4
11,12.7,0.533,0.217,16.9,1.7,2.3,4,0.082,-0.2,0.2,0.1,1.2
12,6.7,0.401,0.509,17.7,-0.3,0.2,-0.1,-0.014,-6.7,-0.2,-6.9,-0.3
13,15.3,0.598,0.5,10.8,0.8,0.4,1.3,0.149,0.7,0,0.7,0.3
13,17.6,0.553,0.4,17.5,0.1,0.1,0.1,0.165,1.2,3.3,4.5,0.1
13,15.1,0.605,0.516,10.2,0.7,0.4,1.1,0.148,0.6,-0.3,0.4,0.2
14,9.2,0.495,0.254,15.4,0.2,0.2,0.3,0.078,-2.4,0.1,-2.3,0
15,6,0.469,0.163,13.7,-0.6,0.4,-0.3,-0.017,-3.9,-0.6,-4.5,-0.5
16,12.3,0.522,0.314,15.8,0.3,0.8,1.1,0.083,-1.1,1.4,0.3,0.4
17,12.9,0.528,0.281,14.4,0.7,2.8,3.5,0.133,-1.7,3.1,1.4,1.1
18,17.2,0.546,0.245,24.7,3.1,0.8,3.9,0.092,2.2,-2.4,-0.2,0.9
19,18.8,0.566,0.404,22.3,4.2,2.9,7.1,0.121,1.3,0.7,2.1,2.9
20,32.9,0.75,0,30.2,0,0,0,0.291,3.7,2.2,5.9,0
21,20.3,0.53,0.308,29.7,3.9,2.5,6.4,0.121,3.8,-0.5,3.3,3.4
22,14.1,0.666,0.8,7,0.2,0.2,0.4,0.177,-2.9,3.3,0.4,0.1
23,-4.8,0.338,0.25,19.5,-0.1,0,-0.1,-0.199,-13.2,-2,-15.1,-0.1
24,12.9,0.551,0.187,15.7,3.1,2.3,5.4,0.09,0.1,0.3,0.4,1.7
25,12.5,0.514,0.108,16.7,1,1.3,2.3,0.072,-1.3,0.5,-0.8,0.4
26,11,0.551,0.574,11.4,0.7,1,1.7,0.07,-2.8,-1,-3.8,-0.5
27,13.9,0.575,0.366,18,2,0.6,2.6,0.106,0.6,-1.1,-0.4,0.4
27,8.7,0.522,0.281,13.6,0.4,0.3,0.7,0.065,-1.9,-0.4,-2.4,-0.1
27,18,0.601,0.41,21.5,1.6,0.3,1.9,0.139,2.7,-1.6,1.1,0.5
28,8.3,0.585,0.261,13.4,0.1,0.1,0.2,0.077,-5.6,-0.5,-6.1,-0.1
29,11.6,0.526,0.173,17.5,0.8,0.3,1.1,0.064,-1,-1.5,-2.5,-0.1
30,6.8,0.391,0.2,20.3,-0.1,0.1,0,-0.004,-6.7,-0.9,-7.5,-0.1
31,11.7,0.545,0.168,18.1,0.9,1.2,2.1,0.092,-1.9,-0.1,-2,0
32,15.4,0.536,0.135,23.8,2.1,0.7,2.8,0.082,1.6,-1.6,0,0.9
33,11.8,0.5,0.204,23.2,0.1,0,0.2,0.013,-2.6,-2.6,-5.1,-0.5
34,12.3,0.559,0.212,15.9,3.1,1.9,4.9,0.116,-0.2,-1.1,-1.3,0.3
35,11.7,0.503,0.199,17.9,0.4,2.2,2.6,0.056,-1.1,0.2,-0.9,0.6
36,16,0.535,0.273,23,2.4,1.9,4.3,0.088,1.2,-0.4,0.8,1.7
37,17.4,0.619,0.467,13.9,3.4,0.7,4.1,0.146,0.6,0,0.6,0.9
38,15.6,0.546,0.22,21.4,2,2.9,5,0.097,1.1,0.1,1.2,2
39,12.4,0.568,0.206,16.4,1.8,0.6,2.4,0.075,0.2,-1,-0.8,0.4
40,17.8,0.563,0.43,18.5,2.4,1.7,4.1,0.158,-0.5,0.3,-0.2,0.6
41,13.4,0.551,0.208,20,0.3,3.8,4.1,0.094,-1.2,1.5,0.3,1.2
42,15.5,0.547,0.22,25.3,1.4,1.3,2.7,0.076,1.2,-0.9,0.3,1
43,22.5,0.563,0.239,29.7,0.6,0.3,1,0.128,2.2,-1.2,0.9,0.3
44,9.4,0.5,0.217,19.7,0.2,0.3,0.5,0.014,-2.1,-1.7,-3.8,-0.8
45,10.4,0.446,0.37,19.2,0,0.1,0.1,0.054,-2.9,-1.1,-3.9,0
46,13,0.553,0.148,15.3,3.1,1.3,4.4,0.102,0,0.1,0.2,1.1
47,14.9,0.586,0.785,11.5,2.8,3.1,5.9,0.156,-1.3,1.1,-0.2,0.8
48,11.2,0.594,0.234,12.8,1.4,0.6,1.9,0.087,-0.9,0.2,-0.7,0.3
49,12.3,0.537,0.433,12.9,0.3,0.4,0.7,0.072,-3.1,-0.2,-3.3,-0.2
50,5.4,0.414,0.191,17.8,-0.3,0.3,-0.1,-0.015,-8.1,-0.7,-8.9,-0.4
51,9.8,0.51,0.083,14.6,0.3,0.8,1.1,0.053,-1.7,-0.7,-2.4,-0.1
52,20,0.557,0.35,27.2,1.6,1,2.5,0.116,2.5,0.8,3.3,1.4
53,10.7,0.55,0.176,19.4,0.9,0,0.9,0.021,-1,-2.6,-3.5,-0.8
54,15.9,0.623,0.179,11.4,2.6,2.9,5.4,0.18,-0.9,3.2,2.4,1.6
55,14.1,0.647,0.07,13.7,0.4,0.3,0.8,0.181,1.2,1,2.2,0.2
56,11.9,0.535,0.295,23,1.2,0.7,1.9,0.043,-1.2,-1.7,-2.8,-0.5
57,14.4,0.533,0.273,14.6,1.8,2.6,4.3,0.128,-1,1,0,0.8
58,20.2,0.571,0.349,24.7,4.1,2.3,6.4,0.172,3.6,0.5,4,2.7
59,13.2,0.538,0.121,19.8,2,2.8,4.8,0.09,-0.4,0.3,-0.1,1.2
60,11.4,0.461,0.125,16.9,-0.1,0.3,0.2,0.036,-4.7,1.3,-3.4,-0.1
61,9.9,0.481,0.254,17.8,0.1,1.2,1.2,0.035,-2.7,-0.3,-2.9,-0.4
62,11.8,0.494,0.136,22.9,0.2,0.7,0.9,0.04,-1.3,-1.3,-2.6,-0.2
63,4.9,0.427,0.159,11,-0.4,0.1,-0.3,-0.024,-4.5,-1,-5.5,-0.5
64,4.4,0.374,0.16,24.9,-0.3,0.1,-0.2,-0.157,-6.5,-1.9,-8.4,-0.1
65,11.3,0.5,0.292,18.9,0.2,0.4,0.6,0.031,-2.1,-0.8,-3,-0.3
66,14.9,0.469,0.252,32.2,-0.9,0.5,-0.4,-0.01,0.9,-2.4,-1.6,0.2
67,10.7,0.514,0.234,14.5,0.4,1,1.4,0.073,-1.8,0.5,-1.3,0.2
67,11.1,0.502,0.247,14.9,0.3,1,1.3,0.084,-1.7,0.9,-0.7,0.2
67,9.2,0.567,0.178,13.1,0.1,0,0.1,0.034,-2.2,-1.1,-3.4,-0.1
68,12,0.583,0.153,11.4,0.8,0.4,1.2,0.134,0.1,0.7,0.8,0.3
69,14,0.507,0.129,25.3,0.9,1.2,2.1,0.074,0.7,-1.2,-0.5,0.5
70,14.3,0.52,0.422,25.9,0.7,0.8,1.5,0.09,0.2,-0.6,-0.4,0.3
71,11.3,0.49,0.203,16.2,0.1,0.1,0.3,0.071,-2.5,0.6,-1.8,0
72,21.3,0.562,0.459,24.4,6.5,2.7,9.1,0.177,3.2,1.2,4.4,3.9
73,13.4,0.558,0.154,12.6,0.4,0.9,1.3,0.146,0.4,2.5,2.9,0.5
74,-7.7,0.125,0,16.9,-0.3,0,-0.3,-0.283,-14,-3.6,-17.6,-0.2
75,12.3,0.571,0.105,12.6,2.7,1.4,4,0.096,-0.8,0.1,-0.6,0.7
76,12.4,0.521,0.238,18.2,2.6,2.7,5.3,0.092,-1.1,0.8,-0.3,1.2
77,11.1,0.528,0.249,19.9,0.9,0.5,1.4,0.035,-0.8,-1.6,-2.4,-0.2
78,18.3,0.553,0.531,16.1,2.4,2,4.4,0.144,-0.3,-0.1,-0.4,0.6
79,11.9,0.49,0.185,18.5,0.2,1,1.2,0.074,-0.8,1.1,0.3,0.5
