Rk,PER,TS%,FTr,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
53,13.9,0.509,0.327,14.5,0.9,1.4,2.3,0.126,-1.5,0.6,-1,0.2
54,17.1,0.51,0.232,25.8,1.4,4.3,5.7,0.108,-0.3,0.2,-0.1,1.2
55,20,0.592,0.333,22.7,5.6,3.4,9,0.175,1.5,-0.2,1.3,2.1
56,8.8,0.461,0.103,18.8,-1.3,1.6,0.4,0.012,-4,0.3,-3.7,-0.6
57,15.2,0.499,0.195,17.2,1.2,2.2,3.4,0.107,-1.7,0.9,-0.9,0.4
58,14.7,0.506,0.245,23.4,1.7,2.2,3.9,0.093,-0.2,0.6,0.4,1.2
59,10,0.416,0.197,12.7,0.1,1,1.1,0.06,-1.7,0.9,-0.7,0.3
59,10.2,0.432,0.223,13.6,0.1,0.7,0.8,0.057,-1.6,0.8,-0.8,0.2
59,9.1,0.283,0,8.6,0,0.3,0.2,0.072,-2.2,1.7,-0.6,0.1
60,11.8,0.555,0.165,18.1,0.8,0,0.8,0.041,-0.8,-1.4,-2.2,0
60,12.1,0.562,0.172,18,0.9,0,0.9,0.045,-0.7,-1.4,-2.1,0
60,5.6,0.385,0,19.6,-0.1,0,0,-0.063,-4.1,0.1,-4,0
61,13.5,0.523,0.281,22.5,0.5,0.8,1.3,0.068,-1.6,-0.1,-1.7,0.1
62,8.8,0.452,0.514,9.1,0,0.4,0.4,0.071,-4.9,0,-4.9,-0.2
63,13.1,0.493,0.219,22.2,0.4,0.8,1.2,0.041,-1.1,-0.5,-1.6,0.2
64,23,0.57,0.392,31.9,8.4,2.6,10.9,0.174,4.7,-0.1,4.6,5
65,12.6,0.516,0.22,20.5,0.3,0.4,0.7,0.066,-0.6,-0.8,-1.4,0.1
66,11.5,0.507,0.332,20.7,0.3,0.7,1,0.044,-1.9,-0.7,-2.6,-0.2
67,12.4,0.535,0.125,20.2,1.9,1.6,3.6,0.091,-0.1,-1.2,-1.3,0.3
68,15.2,0.574,0.455,14.6,4.4,2.6,7,0.158,1,1,2,2.1
69,16.6,0.532,0.243,27,1.2,0.5,1.7,0.067,0.6,-1.6,-1,0.3
70,18.8,0.616,0.126,17,6.6,0.9,7.4,0.165,4.3,-1.2,3.1,2.8
70,19.2,0.594,0.131,18.1,4,0.5,4.4,0.167,5,-1.4,3.6,1.8
70,18.2,0.654,0.118,15.4,2.6,0.4,3,0.163,3.3,-0.8,2.5,1
71,8.6,0.342,0.358,14.3,-0.4,0.4,0,0.007,-4.8,1.2,-3.6,-0.1
72,15.5,0.535,0.302,16.4,2,1.1,3.1,0.134,0.4,0.9,1.3,0.9
73,2.9,,,0,0,0,0,0.029,-6.8,-3.2,-10,0
74,17.8,0.571,0.261,23.1,3.9,2,6,0.137,2.7,0.3,3.1,2.6
75,12.9,0.486,0.256,17.7,0.1,0.6,0.7,0.064,-0.8,0.7,-0.1,0.2
76,13.3,0.576,0.212,16.1,2.6,2.5,5.2,0.12,-0.5,0.9,0.4,1.3
77,18.9,0.671,0.645,13,6.7,2.6,9.3,0.207,1.5,-0.3,1.3,1.8
78,16.6,0.556,0.244,22.7,1.8,1.3,3.1,0.137,0.7,-0.1,0.5,0.7
79,7,0.32,0.095,10.1,0,0.1,0.1,0.029,-2.7,-0.6,-3.3,0
80,12.4,0.51,0.197,15.7,0.7,1.5,2.3,0.08,-1.2,0.5,-0.7,0.4
81,7,0.462,0.159,13.9,-0.6,0.5,-0.1,-0.005,-3.6,0,-3.7,-0.3
82,7.9,0.483,0.188,17,-0.8,1.4,0.6,0.019,-4.3,-0.6,-4.9,-1.2
83,3,0.476,1.103,7.5,-0.1,0.5,0.4,0.045,-7.9,1.2,-6.7,-0.4
83,3,0.511,1.304,7.5,-0.1,0.4,0.3,0.049,-7.7,0.8,-7,-0.4
83,2.9,0.291,0.333,7.5,-0.1,0.1,0,0.016,-8.9,3.7,-5.2,0
84,16.3,0.575,0.38,19.6,4,1.7,5.6,0.114,0.4,-0.3,0.1,1.3
85,13.6,0.624,0.264,11.5,3.2,2.1,5.2,0.158,-0.2,1.1,0.9,1.2
86,18.3,0.549,0.3,21,5.1,4.7,9.9,0.172,2.3,2.3,4.6,4.6
87,-15.2,0.051,0.222,22.1,-0.2,0,-0.2,-0.433,-16.4,-8.5,-24.9,-0.1
88,5.8,0.398,0.072,19.2,-0.6,0.4,-0.2,-0.019,-3.5,-1.3,-4.8,-0.3
88,8.8,0.456,0.051,17.6,0,0.1,0.1,0.03,-1.3,-0.2,-1.6,0
88,4,0.366,0.083,20.1,-0.6,0.3,-0.3,-0.048,-4.8,-2,-6.8,-0.3
89,16.8,0.583,0.218,25.3,1.5,0.6,2.1,0.117,1.1,-1.6,-0.5,0.3
90,20.2,0.524,0.408,28.1,2,2.3,4.4,0.092,0.7,-0.5,0.2,1.2
91,16.8,0.558,0.244,26,3.7,1.7,5.4,0.116,2.3,-1.3,1,1.7
92,13.8,0.512,0.219,25.3,0.2,1.7,1.9,0.052,0.3,-1.1,-0.9,0.5
92,14.7,0.512,0.209,26.4,0.2,1.1,1.4,0.058,1.3,-0.8,0.5,0.7
92,12,0.512,0.244,23.1,0,0.5,0.5,0.041,-1.7,-1.8,-3.6,-0.2
93,10.2,0.491,0.199,15.1,0.2,1.3,1.5,0.055,-1.9,0.9,-1,0.3
94,13.3,0.485,0.154,17.2,1.1,2.4,3.5,0.084,-1.8,0.4,-1.4,0.3
95,14.8,0.538,0.143,29.6,0,0,0,0.033,0.4,-1.9,-1.5,0
96,-0.2,0.461,0.5,23.3,-0.1,0,-0.1,-0.146,-11.2,-3.7,-14.9,-0.1
97,21.3,0.589,0.21,26.4,8.4,2.8,11.2,0.18,5.3,0.1,5.4,5.6
98,18.6,0.565,0.217,18.7,0.9,1.2,2.2,0.137,-0.8,0.2,-0.6,0.3
99,9.2,0.432,0.154,16.9,-0.6,1.1,0.5,0.023,-3.5,0.6,-2.9,-0.2
100,21.7,0.559,0.333,21.8,3.7,2.4,6.1,0.159,1.8,0.7,2.5,2.1
101,17.8,0.561,0.346,17.6,2.9,2.4,5.4,0.159,-0.2,0.4,0.2,0.9
101,18.1,0.57,0.301,18.3,2.1,1.2,3.3,0.147,0.7,-0.3,0.4,0.6
101,17.2,0.539,0.455,16.1,0.8,1.2,2.1,0.183,-2,1.9,-0.1,0.3
102,15,0.483,0.245,25.4,-0.1,0.9,0.8,0.035,-1.6,-0.3,-1.9,0
103,12.9,0.554,0.163,17.1,0.8,0.9,1.6,0.117,-0.7,1.1,0.4,0.4
103,12.6,0.581,0.186,15.4,0.5,0.2,0.8,0.108,-0.6,0.3,-0.2,0.2
103,13.3,0.529,0.144,18.8,0.2,0.6,0.9,0.127,-0.7,1.9,1.1,0.3
104,11.1,0.53,0.183,17.1,0,1.4,1.3,0.07,-2.4,1.2,-1.2,0.2
105,13.3,0.549,0.09,18.6,2,1.5,3.5,0.101,1.1,0.3,1.4,1.5
106,15.1,0.508,0.258,21.5,3,3.3,6.3,0.105,1,-0.3,0.8,2
107,-19.4,0,0,22.8,0,0,0,-0.571,-15.7,-8.9,-24.7,0
108,14.7,0.523,0.347,24.2,3.1,1.6,4.7,0.075,-0.2,-1.2,-1.4,0.4
109,11.9,0.603,0.196,12,2.2,2.3,4.4,0.124,-0.7,1.5,0.8,1.2
110,6.6,0.292,0.037,7.1,-0.3,0.2,-0.1,-0.017,-5.2,0.5,-4.7,-0.2
111,11.2,0.644,0.333,16.4,0.2,0.1,0.2,0.128,-1.2,-0.2,-1.4,0
