Rk,PER,TS%,FTr,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,9,0.567,0.158,12.7,1.3,1,2.2,0.094,-1.9,0.4,-1.5,0.1
2,8.2,0.525,0.164,14.4,-0.1,1.1,1,0.036,-2.6,0.1,-2.5,-0.2
3,20.6,0.63,0.402,16.7,6.7,3,9.7,0.187,1.7,-0.6,1.1,2
4,15.7,0.57,0.526,15.9,2.3,1.9,4.2,0.148,-1.1,0.7,-0.4,0.6
5,5.8,0.516,0.16,12.5,-0.1,0.2,0.1,0.009,-3.8,-1.5,-5.4,-0.6
6,6,0.34,0.4,16.8,-0.1,0.1,0,-0.013,-6.8,-0.7,-7.5,-0.1
7,25,0.57,0.296,29.1,7.4,3.5,10.9,0.209,4.3,-0.4,3.9,3.7
8,17.5,0.636,0.37,16.3,2.7,1.5,4.2,0.141,-0.9,0.1,-0.8,0.5
9,2.6,0.366,0.409,14.6,-0.2,0.1,-0.1,-0.038,-8.3,0.6,-7.7,-0.2
10,8.7,0.514,0.231,18.9,-0.2,0.2,0.1,0.017,-5.2,-0.3,-5.5,-0.2
11,12,0.522,0.137,14.8,0.9,3.2,4.2,0.097,-0.7,1.1,0.4,1.3
12,13,0.54,0.188,19.3,0.6,0.7,1.2,0.115,-0.6,-0.3,-0.9,0.1
13,15.9,0.582,0.333,13.5,2.4,3.8,6.2,0.151,-0.4,3.3,2.9,2.4
14,12.6,0.592,0.194,14.4,3.1,1.7,4.8,0.132,0.9,-0.8,0.1,0.9
15,21.6,0.558,0.667,20.3,0.1,0,0.1,0.165,1.8,0.1,1.9,0
16,27.3,0.598,0.457,31.2,8.3,3.6,11.9,0.207,5.3,0.9,6.2,5.7
17,12.7,0.503,0.165,23.2,1.2,2.5,3.7,0.071,-0.6,-1.3,-1.9,0
18,10,0.587,0.179,12.4,1.4,1.6,3,0.098,-1.2,0.6,-0.6,0.5
19,7.3,0.55,0.146,8.1,0.1,0.2,0.3,0.04,-4.7,0.6,-4.1,-0.2
20,11.8,0.567,0.137,14.4,2.6,2.8,5.3,0.113,0,0.7,0.7,1.5
21,8.4,0.559,0.064,19.5,-0.2,0.1,0,-0.011,-4.8,-0.5,-5.3,-0.1
22,6.9,0.457,0.152,14.5,-0.1,0.1,0,-0.006,-3.8,-1.6,-5.4,-0.2
23,3.1,0.397,0.591,8.7,-0.2,0.2,-0.1,-0.021,-6.5,-1.5,-8,-0.3
23,4.5,0.423,0.75,9.4,-0.1,0.1,0,0.008,-5.6,-1.4,-7,-0.2
23,0.2,0.311,0.167,7.4,-0.1,0,-0.1,-0.078,-8.5,-1.5,-10,-0.1
24,15.4,0.615,0.35,18.6,3.3,0.8,4.1,0.11,1,-1.2,-0.2,0.8
25,9.8,0.576,0.102,15,0.5,0.4,0.9,0.06,-0.9,-1.5,-2.4,-0.1
25,12,0.636,0.131,14.8,0.9,0.3,1.1,0.094,0.4,-1.1,-0.7,0.2
25,1.3,0.351,0,15.8,-0.3,0.1,-0.2,-0.073,-5.9,-3.3,-9.2,-0.3
26,5.8,0.431,0.13,13.7,-0.7,0.6,-0.1,-0.007,-4.8,0.1,-4.7,-0.5
27,9.3,0.504,0.441,10,0.1,0.4,0.5,0.059,-2.8,2.4,-0.4,0.2
28,16.6,0.748,0.476,16.1,0.2,0.1,0.3,0.187,0.2,1.7,1.9,0.1
29,12.5,0.444,0.126,17.4,-0.5,2.5,2,0.053,-0.7,1.6,1,1.3
30,17.8,0.545,0.148,24.9,2.3,1,3.3,0.098,2.7,-1.5,1.2,1.3
31,15.8,0.539,0.259,25.2,2,1.9,3.8,0.07,0.8,-1.3,-0.5,1
32,16.2,0.562,0.22,20.7,4.4,1.8,6.2,0.111,1.6,-0.4,1.1,2.1
33,14.4,0.523,0.2,18.3,1.7,1.8,3.5,0.084,0.5,-0.1,0.4,1.2
34,7.5,0.546,0.168,15.1,0.2,0.9,1.1,0.055,-2.7,-0.2,-2.8,-0.2
35,12,0.502,0.175,16.8,0.5,2.5,3,0.097,-3.6,0.7,-2.9,-0.3
36,14.5,0.547,0.297,22.5,0.2,2,2.2,0.059,-0.4,1,0.6,1.2
37,18.4,0.564,0.249,27.6,4.4,2.5,6.9,0.111,2.9,-0.7,2.2,3.1
38,9,0.509,0.185,16.2,0.1,0.3,0.3,0.028,-2.4,-1.4,-3.8,-0.3
39,17.8,0.556,0.197,26.9,0.9,1.5,2.4,0.069,0.6,-0.8,-0.2,0.7
40,14.1,0.581,0.213,20.7,2.4,1.3,3.7,0.092,0.4,-0.8,-0.5,0.8
40,14.1,0.554,0.225,21.2,1.3,0.6,1.9,0.075,0.6,-0.8,-0.2,0.5
40,14.2,0.628,0.194,19.8,1.1,0.7,1.8,0.119,0,-0.8,-0.8,0.2
41,18,0.641,0.238,13.9,1.6,1.4,2.9,0.174,0,2.8,2.8,1
42,7.6,0.477,0.258,18.2,-0.9,0.5,-0.4,-0.04,-5.1,0.3,-4.7,-0.3
43,7.1,0.524,0.105,12.7,-0.7,0.8,0.1,0.001,-2.9,-0.8,-3.7,-0.9
44,14.1,0.588,0.134,17.4,1.6,1.4,3.1,0.135,1,0.6,1.6,1
45,12.4,0.53,0.143,19.6,0.1,0.3,0.4,0.056,-0.3,0.8,0.5,0.2
46,16.4,0.582,0.484,13.2,1.2,0.6,1.8,0.15,-0.7,-0.2,-0.9,0.2
47,12.1,0.615,0.5,15.4,0.1,0.2,0.2,0.098,-2.7,-0.4,-3.1,0
48,14.1,0.556,0.446,14.9,1.1,1.8,2.9,0.094,-2.6,0.2,-2.4,-0.2
49,12.6,0.581,0.121,14.3,1.7,1.1,2.8,0.097,-0.1,0.2,0.1,0.7
50,14.3,0.582,0.496,15.6,0.5,1,1.5,0.136,-3.7,1.2,-2.6,-0.1
51,10.1,0.471,0.273,23.7,-0.2,0.1,0,-0.006,-2.8,-2.4,-5.2,-0.3
52,19.7,0.582,0.321,26.1,3.1,2.5,5.6,0.116,2.3,0.3,2.5,2.6
52,13,0.509,0.35,28.7,-0.1,0,0,-0.028,-0.7,-2.4,-3.2,0
52,20,0.585,0.319,26,3.2,2.4,5.7,0.121,2.4,0.4,2.8,2.7
53,-1.8,0.255,0.4,8.4,-0.1,0,-0.1,-0.103,-7.6,-0.7,-8.4,-0.1
54,13.5,0.556,0.154,19.6,1.8,1.1,2.9,0.064,-0.6,-0.9,-1.5,0.3
55,13.9,0.605,0.241,19,3.8,1.6,5.4,0.105,0.5,-1.2,-0.7,0.8
56,10.9,0.696,0.08,8.8,0.1,0.3,0.4,0.094,-4.7,1.9,-2.8,-0.1
57,11.7,0.521,1,12.6,0,0,0.1,0.079,-2.6,-2.4,-5,0
58,18.1,0.561,0.312,31.7,1.9,0.6,2.4,0.063,2.9,-2,0.9,1.4
59,14.9,0.557,0.271,16.6,1.6,1.3,2.9,0.121,-0.6,0,-0.6,0.4
59,15.4,0.536,0.287,21.8,0.3,0.3,0.6,0.072,-1.1,-0.5,-1.7,0
59,14.5,0.618,0.358,12.6,1,0.7,1.7,0.163,-0.3,0.9,0.7,0.3
59,14.7,0.512,0.131,16.2,0.4,0.2,0.7,0.118,-0.3,-0.8,-1.1,0.1
60,-28.5,0,0,43.9,0,0,0,-0.899,-21.7,-11.4,-33.1,0
61,9.6,0.496,0.131,23.5,-1.4,1.2,-0.2,-0.007,-3,-1,-4,-0.7
61,9.7,0.497,0.14,24.4,-1.4,1.1,-0.2,-0.009,-2.8,-1.1,-3.9,-0.6
61,9,0.492,0.036,16.7,-0.1,0.1,0,0.009,-4.1,-0.3,-4.4,-0.1
62,9.5,0.337,0.182,18.4,0,0,0,0.033,-3,-4.5,-7.5,0
63,11.2,0.534,0.285,14.3,0.7,1.6,2.3,0.091,-3.2,1.9,-1.3,0.2
63,8.9,0.509,0.297,14.2,-0.2,0.9,0.7,0.048,-4.7,1.6,-3.1,-0.2
63,14.2,0.565,0.271,14.4,0.9,0.7,1.6,0.15,-1.2,2.3,1.1,0.4
64,14.3,0.578,0.169,19.1,2,0.7,2.7,0.091,-0.1,-1,-1.2,0.3
65,9.8,0.508,0.159,19.9,0.1,0.1,0.1,0.033,-2.6,-1.3,-3.8,-0.1
66,9.8,0.531,0.215,18.5,0.1,1.1,1.2,0.024,-2.9,-1.1,-4,-1.2
67,26.1,0.629,0.225,29.8,0.6,0.2,0.7,0.179,7.5,-0.4,7.1,0.4
68,41.9,1.5,0,11.1,0,0,0,0.571,26.2,4.3,30.5,0
69,5.5,0.425,0.034,26.1,-0.3,0.1,-0.2,-0.08,-4.9,-2.3,-7.2,-0.2
70,13.6,0.562,0.29,21.4,1.2,3.2,4.5,0.1,-0.8,0.3,-0.5,0.8
71,8.2,0.459,0.059,11.9,0,0.1,0.2,0.06,-3.9,1.5,-2.5,0
72,-1.2,0.357,0,12.8,-0.1,0,0,-0.063,-8.8,-2,-10.8,-0.1
73,9.1,0.503,0.117,14,0,0.7,0.7,0.043,-2.8,-0.2,-3.1,-0.2
74,-4.6,0,0,8.7,0,0,0,-0.18,-8.1,-3.2,-11.3,0
75,9.9,0.441,0.429,15.9,0,0.1,0.1,0.05,-3.1,-0.2,-3.3,0
76,13.6,0.615,0.09,15.7,2.8,1.4,4.2,0.117,0.7,0,0.7,1.2
77,21,0.563,0.148,25.1,2,0.3,2.4,0.145,3.9,-1.4,2.5,0.9
78,13.1,0.527,0.3,22.5,0.2,1.6,1.9,0.084,-1.3,0.4,-0.9,0.3
79,23.7,0.59,0.461,24.9,7.1,1.8,8.9,0.198,5,0.7,5.8,4.2
80,12.8,0.498,0.207,26.4,-0.2,0.4,0.2,0.027,-2.3,-0.7,-3.1,-0.1
81,7.4,0.386,0.194,15.8,-0.1,0.1,0,-0.021,-4.8,-1,-5.8,-0.1
81,-0.1,0,0,12.5,0,0,0,-0.113,-8.2,5.7,-2.6,0
81,7.9,0.411,0.207,16,-0.1,0.1,0,-0.015,-4.5,-1.5,-6.1,-0.1
82,11.3,0.643,0.162,11.6,1.5,0.3,1.8,0.095,-1.4,-0.5,-1.9,0
83,13.2,0.561,0.243,16.9,2.6,2.7,5.3,0.103,-0.4,0.6,0.3,1.4
84,13.5,0.539,0.372,18.9,0.5,0.1,0.6,0.072,-0.5,-0.7,-1.3,0.1
84,-7.3,0,0,11,0,0,0,-0.224,-12.4,-4.5,-16.9,0
84,13.7,0.543,0.375,19,0.5,0.1,0.7,0.075,-0.4,-0.7,-1.1,0.1
85,24.5,0.65,0.38,19.4,6.2,4.1,10.2,0.242,2.4,1,3.4,2.8
86,14.3,0.55,0.313,19.8,2.3,1.8,4.1,0.091,0.5,-0.4,0.2,1.2
87,10.8,0.523,0.131,14.7,0.3,0.9,1.2,0.056,-1.9,0.7,-1.2,0.2
88,10.8,0.446,0.389,16.6,-0.2,1.1,0.9,0.05,-3.3,1.8,-1.5,0.1
89,8.7,0.519,0.259,12.9,-0.1,0.6,0.5,0.041,-3.8,0.9,-2.9,-0.1
90,15.5,0.632,0.333,16.3,1.2,1,2.2,0.141,-0.9,0,-0.9,0.2
91,17.6,0.529,0.32,21.8,1.7,2.2,3.9,0.092,-0.4,0.3,-0.1,1
92,13,0.567,0.138,14.8,0.9,0.3,1.2,0.109,-0.4,-1.5,-1.9,0
93,10.4,0.503,0.312,19.6,-0.6,1.3,0.6,0.021,-3.7,0.5,-3.2,-0.4
94,14.2,0.658,0.497,10.6,1.9,0.8,2.7,0.111,-0.8,-0.6,-1.4,0.2
95,10.9,0.542,0.181,14.3,2.1,1.2,3.3,0.067,-1,-1.1,-2.1,-0.1
96,11.1,0.509,0.331,18.1,-0.8,1.5,0.7,0.023,-3.2,0.4,-2.8,-0.3
97,9.4,0.529,0.119,17.2,0.3,0.8,1.1,0.037,-2.7,-0.8,-3.5,-0.6
98,16.4,0.542,0.199,26.5,1.9,1.2,3,0.077,1.5,-1.4,0.1,1
98,16.9,0.532,0.198,27.7,1.1,1,2.1,0.08,1.9,-1.1,0.8,0.9
98,15.4,0.565,0.202,24.1,0.8,0.2,1,0.073,0.5,-1.8,-1.3,0.1
99,7.4,0.53,0.111,14.8,0,0,0.1,0.042,-2.7,0.5,-2.2,0
100,4.5,0.486,0.286,11.1,-0.2,0.2,0,-0.006,-7.6,2.4,-5.2,-0.1
100,5.1,0.317,0.286,10,-0.1,0.1,0,-0.005,-7.3,4,-3.3,0
100,3.5,0.825,0.286,13.4,0,0,0,-0.009,-8.3,-0.7,-9,-0.1
101,18.3,0.62,0.341,17.9,3.4,2,5.4,0.145,-0.4,0.2,-0.2,0.8
102,7.5,0.475,0.145,15.4,-0.7,1.3,0.6,0.03,-4.5,0.2,-4.3,-0.6
103,10,0.433,0.404,13.3,-0.1,0.5,0.5,0.046,-3.6,0.9,-2.6,-0.1
104,18.8,0.61,0.226,17.4,5.8,1.8,7.6,0.181,2.4,0.3,2.7,2.4
105,13.2,0.627,0.684,18.2,0.1,0,0.1,0.064,-2.3,-1.9,-4.2,0
106,15.4,0.52,0.393,25.9,0.4,0.2,0.6,0.077,1.3,-0.8,0.5,0.2
107,9.3,0.539,0.113,13.4,1.2,1.3,2.5,0.08,-1.7,-0.1,-1.8,0.1
108,12.8,0.593,0.099,17.5,1.1,0.4,1.6,0.101,-0.1,-1.5,-1.6,0.1
109,-5.1,0.202,0.143,18.1,-0.2,0,-0.2,-0.239,-10.4,-4,-14.4,-0.1
110,19.7,0.566,0.704,19.8,0.3,0,0.3,0.182,0.9,-1.4,-0.6,0
111,9.7,0.5,0,7,0,0.1,0.1,0.127,-6,5.3,-0.7,0
112,22.6,0.583,0.456,31.9,1.5,3.2,4.7,0.13,2.5,2.2,4.7,2.9
113,12.9,0.563,0.163,17.2,1.6,4.5,6.1,0.116,-0.2,1.7,1.5,2.3
114,12.3,0.558,0.163,19,1.8,1.4,3.2,0.07,0,-0.7,-0.7,0.7
115,9.8,0.535,0.255,11.9,0.5,0.4,0.9,0.069,-2.2,-0.7,-2.9,-0.1
116,13,0.519,0.152,23.7,0.9,0.3,1.3,0.037,0.1,-2.5,-2.3,-0.1
117,19.1,0.601,0.037,26.5,0.1,0,0.2,0.15,4.9,-0.7,4.2,0.1
118,10.4,0.525,0.221,17.3,1,1.6,2.6,0.06,-1.9,-0.6,-2.5,-0.3
118,10.2,0.545,0.245,15.1,1.1,0.6,1.7,0.059,-1.9,-1,-3,-0.3
118,10.8,0.499,0.19,21.3,-0.1,1,0.9,0.06,-1.9,0.2,-1.7,0.1
119,10,0.539,0.143,11.6,1.1,1.3,2.4,0.074,-1.5,-0.2,-1.7,0.1
119,8.4,0.525,0.16,10,0.7,0.9,1.6,0.067,-1.9,-0.1,-2,0
119,13.8,0.561,0.115,15.8,0.4,0.4,0.9,0.092,-0.6,-0.4,-0.9,0.1
120,28.2,0.675,0.35,31,7.2,1.9,9.1,0.267,7.8,0,7.7,4
121,9.8,0.583,0.111,17.2,1.4,0,1.4,0.042,-0.5,-2.1,-2.6,-0.3
122,28.9,0.612,0.409,30,8.8,4.9,13.7,0.241,5.3,1.4,6.7,5.9
123,16.6,0.621,0.215,15.3,1.9,0.8,2.7,0.138,-0.9,-0.6,-1.5,0.1
124,15.5,0.607,0.38,12.1,2.5,2.5,5,0.164,-1.2,0.6,-0.6,0.5
125,15.8,0.599,0.18,17,1.8,1.9,3.7,0.114,-0.4,0.5,0.1,0.8
