Rk,PER,TS%,FTr,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,11.9,0.533,0.293,15.5,1,0.7,1.7,0.063,-2.1,-1,-3.1,-0.3
2,12.8,0.489,0.267,20.4,0,0.4,0.4,0.073,-1.2,2.6,1.4,0.2
3,14.1,0.549,0.514,14.3,1.9,2.2,4.1,0.111,-1.5,0.2,-1.3,0.3
4,14.2,0.494,0.864,14.3,0.2,0.2,0.4,0.087,-1.9,-0.6,-2.4,0
5,10.7,0.533,0.224,19,1.6,1,2.6,0.05,-1.4,-1.1,-2.5,-0.3
5,11.7,0.533,0.23,19.9,1.4,0.4,1.8,0.05,-0.7,-1.2,-1.9,0.1
5,8.2,0.533,0.207,16.7,0.2,0.5,0.8,0.049,-3,-0.8,-3.8,-0.4
6,19.9,0.595,0.301,21.1,1.9,1.2,3.2,0.159,-0.7,0.4,-0.3,0.4
7,12,0.517,0.346,8.6,0.7,0.7,1.4,0.122,-3.9,0.4,-3.6,-0.2
8,18.1,0.513,0.213,18.3,0.8,1.4,2.2,0.107,-0.8,1.1,0.3,0.6
9,22.8,0.528,0.256,30.2,4.9,3.7,8.6,0.165,3.2,-0.3,2.9,3.1
10,14.9,0.493,0.157,15.2,1.3,1.6,2.8,0.127,-0.5,0.5,0,0.6
11,14.6,0.528,0.277,16.6,0.9,3.2,4.1,0.119,-1.5,3.1,1.6,1.5
12,14.4,0.504,0.331,15.2,1.2,2,3.3,0.115,-0.7,1.5,0.7,1
13,11.8,0.442,0.341,17.4,-0.6,0.9,0.3,0.017,-4.1,-0.2,-4.3,-0.5
13,3.8,0.387,0.417,11,-0.1,0.1,0,-0.011,-6.7,-1.5,-8.2,-0.1
13,12.5,0.444,0.337,18,-0.5,0.8,0.4,0.02,-3.8,-0.1,-3.9,-0.4
14,16.1,0.622,0.551,12.3,2.1,1.5,3.6,0.151,0,1,1.1,0.9
15,10.6,0.563,0.23,14.2,1.7,1.1,2.7,0.075,-1.7,0.2,-1.5,0.2
16,8.2,0.389,0.157,13.4,-0.3,0.6,0.3,0.044,-3.8,2.3,-1.4,0.1
17,15.6,0.524,0.207,23.4,2.6,0.9,3.5,0.1,1.8,-2.1,-0.3,0.7
18,14.8,0.552,0.445,19.6,2.2,4,6.2,0.117,-1.2,1.2,0,1.2
19,21.5,0.531,0.294,32.2,2.2,0.6,2.9,0.097,4.9,-1.9,3,1.8
20,14.7,0.607,0.355,9.1,0.5,0.7,1.2,0.142,-2.9,3.1,0.2,0.2
