Rk,PER,TS%,FTr,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,10.1,0.56,0.144,15.9,1.2,0.9,2.1,0.096,-1.3,-0.4,-1.6,0.1
2,11.8,0.565,0.353,16.8,0.5,0.5,0.9,0.082,-1.5,-0.6,-2.1,0
2,-1.4,0.355,0.176,20,-0.2,0,-0.1,-0.133,-10.3,-4.1,-14.3,-0.1
2,13.1,0.587,0.373,16.5,0.6,0.5,1.1,0.102,-0.6,-0.2,-0.9,0.1
3,16.5,0.589,0.392,16.2,3.3,3.1,6.5,0.13,-0.2,0,-0.2,1.1
4,8.9,0.559,0.221,14.4,1.2,0.2,1.4,0.043,-2.1,-1.5,-3.6,-0.7
5,12.9,0.529,0.225,17.2,0,0.9,1,0.08,-4,0.7,-3.3,-0.2
6,12.7,0.549,0.256,9.4,0.6,0.7,1.3,0.116,-2.3,1.5,-0.8,0.2
7,18.6,0.532,0.258,24.5,3.5,3.7,7.2,0.149,0.7,0.1,0.8,1.7
8,11.6,0.485,0.196,10.9,0.9,0.8,1.7,0.093,-1.5,-0.2,-1.7,0.1
9,13.3,0.493,0.218,17.9,0.2,2.9,3.1,0.077,-2,1.1,-1,0.5
10,11.3,0.506,0.292,15.4,-0.1,2,1.9,0.051,-1.4,0.4,-1.1,0.4
11,11.6,0.497,0.636,13,0.1,0.2,0.2,0.102,-4.7,2.2,-2.5,0
12,5,0.494,0.2,13.7,0,0.1,0.1,0.02,-4.2,-1.9,-6.1,-0.3
13,13.9,0.537,0.294,20.9,0.6,1.3,1.9,0.074,-0.9,-0.4,-1.3,0.2
13,14.7,0.521,0.318,23.6,0.1,0.9,1,0.067,-1,0,-1,0.2
13,12.8,0.564,0.253,17.2,0.5,0.4,0.9,0.084,-0.8,-1,-1.9,0
14,12.5,0.525,0.273,12.1,0.7,2,2.7,0.127,-1.4,3.2,1.8,1
15,13.5,0.583,0.194,17.9,4,1.1,5.2,0.117,1.7,-2,-0.4,0.9
16,26.1,0.599,0.486,28.3,7.9,4.5,12.4,0.21,4.9,2.4,7.3,6.7
